street,city,zipcode,region,abbr,country,complete,continent
213 North Broadway Street,Abilene,67410,Kansas,KS,United States,"213 North Broadway Street, Abilene KS 67410",North America
2442 Cedar Street,Abilene,79601,Texas,TX,United States,"2442 Cedar Street, Abilene TX 79601",North America
111 N. Well Road,Ajo,85321,Arizona,AZ,United States,"111 N. Well Road, Ajo AZ 85321",North America
34100 Albion Street,Albion,95410,California,CA,United States,"34100 Albion Street, Albion CA 95410",North America
6400 Wyoming Blvd. NE,Albuquerque,87109,New Mexico,NM,United States,"6400 Wyoming Blvd. NE, Albuquerque NM 87109",North America
"P.O. Box 180, Alexandria",Alexandria,36250,Alabama,AL,United States,"P.O. Box 180, Alexandria, Alexandria AL 36250",North America
300 Rivercrest Boulevard,Allen,75002,Texas,TX,United States,"300 Rivercrest Boulevard, Allen TX 75002",North America
213 East 9th Street,Alma,66401,Kansas,KS,United States,"213 East 9th Street, Alma KS 66401",North America
3303 South Third Avenue,Alpena,49707,Michigan,MI,United States,"3303 South Third Avenue, Alpena MI 49707",North America
401 South High School Street,Altamont,67330,Kansas,KS,United States,"401 South High School Street, Altamont KS 67330",North America
901 Duss Avenue,Ambridge,15003,Pennsylvania,PA,United States,"901 Duss Avenue, Ambridge PA 15003",North America
909 Duss Avenue,Ambridge,15003,Pennsylvania,PA,United States,"909 Duss Avenue, Ambridge PA 15003",North America
8500 Otterburn Road,Amelia,23002,Virginia,VA,United States,"8500 Otterburn Road, Amelia VA 23002",North America
1765 West Cerritos,Anaheim,92804,California,CA,United States,"1765 West Cerritos, Anaheim CA 92804",North America
1101 Golden Bear Drive,Anchorage,99504,Alaska,AK,United States,"1101 Golden Bear Drive, Anchorage AK 99504",North America
5530 E. Northern Lights Blvd. #1,Anchorage,99504,Alaska,AK,United States,"5530 E. Northern Lights Blvd. #1, Anchorage AK 99504",North America
9251 Lake Otis Pkwy,Anchorage,99507,Alaska,AK,United States,"9251 Lake Otis Pkwy, Anchorage AK 99507",North America
1432 North Andover Road,Andover,67002,Kansas,KS,United States,"1432 North Andover Road, Andover KS 67002",North America
1107 Rosamond Parkway,Anna,75409-0128,Texas,TX,United States,"1107 Rosamond Parkway, Anna TX 75409-0128",North America
2525 S. Ironwood Drive,Apache Junction,85120,Arizona,AZ,United States,"2525 S. Ironwood Drive, Apache Junction AZ 85120",North America
945 W. Apache Trail,Apache Junction,85220,Arizona,AZ,United States,"945 W. Apache Trail, Apache Junction AZ 85220",North America
315 East Montgomery Avenue,Ardmore,19003,Pennsylvania,PA,United States,"315 East Montgomery Avenue, Ardmore PA 19003",North America
2000 Sam Houston Drive,Arlington,76014,Texas,TX,United States,"2000 Sam Houston Drive, Arlington TX 76014",North America
6600 Little Falls Road,Arlington,22213,Virginia,VA,United States,"6600 Little Falls Road, Arlington VA 22213",North America
705 North 9th Street,Arlington,68002,Nebraska,NE,United States,"705 North 9th Street, Arlington NE 68002",North America
818 West Park Row Drive,Arlington,76013,Texas,TX,United States,"818 West Park Row Drive, Arlington TX 76013",North America
12 Tripp Lane,Armonk,10504,New York,NY,United States,"12 Tripp Lane, Armonk NY 10504",North America
46999 N. 5th Street,Ash Fork,86320,Arizona,AZ,United States,"46999 N. 5th Street, Ash Fork AZ 86320",North America
34-12 36th Avenue,Astoria,11106,New York,NY,United States,"34-12 36th Avenue, Astoria NY 11106",North America
3338 East Main Street,Attica,14011,New York,NY,United States,"3338 East Main Street, Attica NY 14011",North America
500 W. Midland Road,Auburn,48611,Michigan,MI,United States,"500 W. Midland Road, Auburn MI 48611",North America
3075 Shimmons Road,Auburn Hills,48326,Michigan,MI,United States,"3075 Shimmons Road, Auburn Hills MI 48326",North America
11400 North Mo-Pac Expressway,Austin,78759,Texas,TX,United States,"11400 North Mo-Pac Expressway, Austin TX 78759",North America
13212 North Lamar Blvd.,Austin,78753,Texas,TX,United States,"13212 North Lamar Blvd., Austin TX 78753",North America
1500 Royston Lane Ste A,Austin,78664,Texas,TX,United States,"1500 Royston Lane Ste A, Austin TX 78664",North America
2206 Prather Lane,Austin,78704,Texas,TX,United States,"2206 Prather Lane, Austin TX 78704",North America
