,name,country,latitude,longitude,picture,caption,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,continent
<Santa_Maria_in_Domnica>,Santa Maria in Domnica,Italy,41.88466666666667,12.495583333333332,248SMariaInDomnica.JPG,Facade of Santa Maria in Domnica,https://upload.wikimedia.org/wikipedia/commons/7/71/248SMariaInDomnica.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/248SMariaInDomnica.JPG/250px-248SMariaInDomnica.JPG,"The Minor Basilica of St. Mary in Domnica alla Navicella (Basilica Minore di Santa Maria in Domnica alla Navicella), or simply Santa Maria in Domnica or Santa Maria alla Navicella, is a Roman Catholic basilica in Rome, Italy, dedicated to the Blessed Virgin Mary and active in local charity according to its long tradition. William Joseph Levada was the most recent Cardinal Deacon of the Titulus S. Mariae in Domnica.",00001.jpg,00001.jpg,Europe
"<San_Lorenzo_Maggiore,_Naples>",San Lorenzo Maggiore,Italy,40.85093,14.258120000000002,Napoli_-_Basilica_di_San_Lorenzo_Maggiore.JPG,Façade of San Lorenzo Maggiore.,https://upload.wikimedia.org/wikipedia/commons/6/61/Napoli_-_Basilica_di_San_Lorenzo_Maggiore.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Napoli_-_Basilica_di_San_Lorenzo_Maggiore.JPG/250px-Napoli_-_Basilica_di_San_Lorenzo_Maggiore.JPG,"San Lorenzo Maggiore is a church in Naples, Italy. It is located at the precise geographic center of the historic center of the ancient Greek-Roman city, at the intersection of via San Gregorio Armeno and via dei Tribunali. The name ""San Lorenzo"" may also refer to the new museum now opened on the premises, as well as to the ancient Roman market beneath the church itself, the Macellum of Naples.
The church's origins derive from the presence of the Franciscan order in Naples during the lifetime of St Francis of Assisi, himself. The site of the present church was to compensate the order for the loss of their earlier church on the grounds where Charles I of Anjou decided to build his new fortress, the Maschio Angioino in the late 13th century.
San Lorenzo actually is a church plus monastery. The new museum takes up the three floors above the courtyard and is given over to the entire history of the area that centers on San Lorenzo, beginning with classical archaeology and progressing to a chart display of  historical shipping routes from Naples throughout Magna Grecia and the Roman Empire.  The museum provides a detailed account of the local ""city hall"" that was demolished in order to put up the church in the 13th century and continues up past the Angevin period and into more recent history.
Beneath San Lorenzo, about half of an original Roman market has been excavated. The site has been open since 1992, the result of 25 years of painstaking excavation. The market place is the only large-scale Greek-Roman site excavated in the downtown area.
In this church Boccaccio met his beloved Fiammetta (1338).",00002.jpg,00002.jpg,Europe
<Castello_Estense>,Castello Estense,Italy,44.83750000000001,11.619444444444444,Castello esterno.jpg,Exterior view and moat,https://upload.wikimedia.org/wikipedia/commons/e/ea/Castello_esterno.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Castello_esterno.jpg/250px-Castello_esterno.jpg,"The Castello Estense (‘Este castle’) or castello di San Michele (‘St. Michael's castle’) is a moated medieval castle in the center of Ferrara, northern Italy. It consists of a large block with four corner towers.",00003.jpg,00003.jpg,Europe
<San_Pellegrino_in_Vaticano>,San Pellegrino in Vaticano,Vatican City,41.905002777777774,12.456961111111116,San Pellegrino in Vaticano - Achille Pinelli - 1834.jpg,An 1834 watercolor of the façade of the church painted by Achille Pinelli,https://upload.wikimedia.org/wikipedia/commons/2/2e/San_Pellegrino_in_Vaticano_-_Achille_Pinelli_-_1834.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/San_Pellegrino_in_Vaticano_-_Achille_Pinelli_-_1834.jpg/250px-San_Pellegrino_in_Vaticano_-_Achille_Pinelli_-_1834.jpg,"The Church of San Pellegrino in Vaticano (English: Saint Peregrine in the Vatican) is an  ancient Roman Catholic oratory in the Vatican City, located on the Via dei Pellegrini. The church is dedicated to Saint Peregrine of Auxerre, a Roman priest appointed by Pope Sixtus II who had suffered martyrdom in Gaul in the third century. It is one of the oldest churches in the Vatican City.The church built by Pope Leo III (750 AD - 816 AD) around 800 first received the name of ""San Pellegrino in Naumachia"", making reference to the naumachia built northwest of the Castel Sant'Angelo and dedicated by Roman emperor Trajan in 109. In the seventeenth century, Pope Clement X granted the church to the Pontifical Swiss Guards, who used it for their religious services in combination with the church of Santi Martino e Sebastiano degli Svizzeri until 1977. Under the name of  San Pellegrino degli Svizzeri (English: Saint Peregrine of the Swiss), it became the national church in Rome of Switzerland.  The oratory later fell into disrepair but was restored in the 19th century when evidence of the 9th-century frescoes were discovered.
The church now serves as the chapel of the Pontifical Gendarmerie and the firefighters of the Vatican City and is entrusted to the care of the chaplain of the corps —currently Msgr. Giulio Viviani.",00004.jpg,00004.jpg,Europe
<Temple_of_Eshmun>,Temple of Eshmun,Lebanon,33.58573,35.398204,Throne of Ashtart.jpg,Throne of Astarte at the Eshmun Temple,https://upload.wikimedia.org/wikipedia/commons/2/27/Throne_of_Ashtart.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Throne_of_Ashtart.jpg/250px-Throne_of_Ashtart.jpg,"The Temple of Eshmun (Arabic: معبد أشمون‎) is an ancient place of worship dedicated to Eshmun, the Phoenician god of healing. It is located near the Awali river, 2 kilometres (1.2 mi) northeast of Sidon in southwestern Lebanon. The site was occupied from the 7th century BC to the 8th century AD, suggesting an integrated relationship with the nearby city of Sidon. Although originally constructed by Sidonian king Eshmunazar II in the Achaemenid era (c. 529–333 BC) to celebrate the city's recovered wealth and stature, the temple complex was greatly expanded by Bodashtart, Yatan-milk and later monarchs. Because the continued expansion spanned many centuries of alternating independence and foreign hegemony, the sanctuary features a wealth of different architectural and decorative styles and influences.
The sanctuary consists of an esplanade and a grand court limited by a huge limestone terrace wall that supports a monumental podium which was once topped by Eshmun's Graeco-Persian style marble temple. The sanctuary features a series of ritual ablution basins fed by canals channeling water from the Asclepius river (modern Awali) and from the sacred ""Ydll"" spring; these installations were used for therapeutic and purificatory purposes that characterize the cult of Eshmun. The sanctuary site has yielded many artifacts of value, especially those inscribed with Phoenician texts, providing valuable insight into the site's history and that of ancient Sidon.
The Eshmun Temple was improved during the early Roman Empire with a colonnade street, but declined after earthquakes and fell into oblivion as Christianity replaced polytheism and its large limestone blocks were used to build later structures. The temple site was rediscovered in 1900 by local treasure hunters who stirred the curiosity of international scholars. Maurice Dunand, a French archaeologist, thoroughly excavated the site from 1963 until the beginning of the Lebanese Civil War in 1975. After the end of the hostilities and the retreat of Israel from Southern Lebanon, the site was rehabilitated and inscribed to the World Heritage Site tentative list.",00005.jpg,00005.jpg,Asia
<Edificio_Tarragona>,Edificio Tarragona,Spain,41.3787,2.1444,Barcelona Parc Joan Miro.jpg,Second skyscraper (white colour),https://upload.wikimedia.org/wikipedia/commons/a/ac/Barcelona_Parc_Joan_Miro.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Barcelona_Parc_Joan_Miro.jpg/250px-Barcelona_Parc_Joan_Miro.jpg,"Edifici Tarragona is a skyscraper in Barcelona, Catalonia, Spain. Completed in 1998, has 22 floors and rises 78 metres. Lies on Carrer de Tarragona street 159, near Plaça d'Espanya and three other skyscrapers: Edificio Allianz, Hotel Torre Catalunya, Torre Núñez y Navarro.",00006.jpg,00006.jpg,Europe
"<Sant'Ignazio_Church,_Rome>",Sant'Ignazio Church,Italy,41.898999999999994,12.479777777777779,"Sant'Ignazio Church, Rome.jpg",Façade of Sant'Ignazio,https://upload.wikimedia.org/wikipedia/commons/f/fb/Sant%27Ignazio_Church%2C_Rome.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Sant%27Ignazio_Church%2C_Rome.jpg/250px-Sant%27Ignazio_Church%2C_Rome.jpg,,00007.jpg,00007.jpg,Europe
<Farfa_Abbey>,Farfa Abbey,Italy,42.22129444444445,12.718686111111117,Abbazia di Farfa veduta.JPG,The main street of the hamlet below the abbey,https://upload.wikimedia.org/wikipedia/commons/1/1b/Abbazia_di_Farfa_veduta.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Abbazia_di_Farfa_veduta.JPG/250px-Abbazia_di_Farfa_veduta.JPG,"Farfa Abbey (Italian: Abbazia di Farfa) is a territorial abbey in northern Lazio, central Italy. It is one of the most famous abbeys of Europe. It belongs to the Benedictine Order and is located about 60 km from Rome, in the commune of Fara Sabina, of which it is also a hamlet (It. frazione).",00008.jpg,00008.jpg,Europe
<San_Pietro_in_Vincoli>,San Pietro in Vincoli,Italy,41.89387222222222,12.493069444444444,"San pietro in vincoli, esterno.JPG",Façade of the Basilica,https://upload.wikimedia.org/wikipedia/commons/1/17/San_pietro_in_vincoli%2C_esterno.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/San_pietro_in_vincoli%2C_esterno.JPG/250px-San_pietro_in_vincoli%2C_esterno.JPG,"For other churches of this dedication, see St Peter ad Vincula (disambiguation).San Pietro in Vincoli (Saint Peter in Chains) is a Roman Catholic titular church and minor basilica in Rome, Italy, best known for being the home of Michelangelo's statue of Moses, part of the tomb of Pope Julius II.
The Titulus S. Petri ad vincula was assigned on 20 November 2010, to Donald Wuerl.  The previous Cardinal Priest of the basilica was Pío Laghi, who died on 11 January 2009.
Next to the church is hosted the Faculty of Engineering of La Sapienza University, in the former associated convent. This is named ""San Pietro in Vincoli"" per antonomasia. The church is on the Oppian Hill near Cavour metro station, a short distance from the Colosseum.",00009.jpg,00009.jpg,Europe
<Church_of_Saint_Menas_of_Samatya>,Church of Saint Menas of Samatya,Turkey,41.000417,28.931896999999996,Church of Saint Menas 01.jpg,The church viewed from east. The Martyrion can be accessed through the gas station in foreground,https://upload.wikimedia.org/wikipedia/commons/b/b3/Church_of_Saint_Menas_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Church_of_Saint_Menas_01.jpg/250px-Church_of_Saint_Menas_01.jpg,"Saint Menas  (Greek: Ἄγιος Μηνάς, pr. Ágios Minás; Turkish: Ayios Minas Kilisesi) is a Greek Orthodox Church in Istanbul.
The edifice was built in 1833 near an early Christian Martyrion of the fourth or fifth century, possibly dedicated to the saints Carpus and Papylus (Greek: Μονὴ τῶν ἁγίων Κάρπου καὶ Παπὺλου, Monì ton Agíon Kárpou kai Papýlou ), and on the site of an ancient church dedicated to Hagios Polykarpos.
The modern church has the same dedication as a nearby water source (Greek: Hagiásma, Turkish: Ayazma).",00010.jpg,00010.jpg,Asia
<Medicina_Radio_Observatory>,Medicina Radio Observatory,Italy,44.52083333333334,11.646944444444443,"Paolo Monti - Servizio fotografico (Medicina, 1974) - BEIC 6348759.jpg","Photo by Paolo Monti, 1974",https://upload.wikimedia.org/wikipedia/commons/a/a4/Paolo_Monti_-_Servizio_fotografico_%28Medicina%2C_1974%29_-_BEIC_6348759.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Paolo_Monti_-_Servizio_fotografico_%28Medicina%2C_1974%29_-_BEIC_6348759.jpg/250px-Paolo_Monti_-_Servizio_fotografico_%28Medicina%2C_1974%29_-_BEIC_6348759.jpg,"The Medicina Radio Observatory is an astronomical observatory located 30 km from Bologna, Italy. It is operated by the Institute for Radio Astronomy of the National Institute for Astrophysics (INAF) of the government of Italy.
The site includes:

32-metre diameter parabolic antenna for observing between 1.4 and 23 GHz. The 32-m antenna is used as a single-dish instrument for astrophysical observations (such as water and methanol maser spectroscopy), SETI experiments and radar monitoring of Near Earth Objects. In  interferometric mode it functions as a VLBI station, part of the European VLBI Network (EVN).
564 by 640 m (30000 square meter) multi-element Northern Cross cylindrical-parabolic transit radio telescope for observing at 408 MHz.",00011.jpg,00011.jpg,Europe
"<San_Francesco,_Arezzo>",San Francesco,Italy,43.4645,11.8808,Arezzo-Basilica di San Francesco.jpg,Façade of the church,https://upload.wikimedia.org/wikipedia/commons/1/18/Arezzo-Basilica_di_San_Francesco.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Arezzo-Basilica_di_San_Francesco.jpg/250px-Arezzo-Basilica_di_San_Francesco.jpg,,00012.jpg,00012.jpg,Europe
<Melia_Barcelona_Hotel>,Melia Barcelona Hotel,Spain,41.3911,2.1419,Magische fontein bcn.JPG,"First skyscraper on the right (dark colour), view from afar",https://upload.wikimedia.org/wikipedia/commons/0/02/Magische_fontein_bcn.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Magische_fontein_bcn.JPG/250px-Magische_fontein_bcn.JPG,"Melia Barcelona Hotel is a skyscraper and hotel in Barcelona, Catalonia, Spain. Completed in 1972, has 23 floors and rises 83 metres. It is part of Meliá Hotels International. The hotel has 333 rooms.",00013.jpg,00013.jpg,Europe
<St._Publius_Parish_Church>,St. Publius Parish Church,Malta,35.892444444444436,14.504833333333336,Floriana parish church.jpeg,View of the Church of St. Publius,https://upload.wikimedia.org/wikipedia/commons/4/4e/Floriana_parish_church.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Floriana_parish_church.jpeg/250px-Floriana_parish_church.jpeg,"The Saint Publius Parish Church (Maltese: Knisja Arċipretali ta' San Publiju), also known as the Floriana Parish Church (Maltese: Knisja Parrokkjali tal-Furjana) is a Roman Catholic parish church in Floriana, Malta, dedicated to Saint Publius. It was constructed at several stages between the 18th and 20th centuries.",00001.jpeg,00001.jpeg,Europe
"<Doge's_Palace,_Genoa>",Doge's Palace,Italy,44.4075,8.93342,Palazzo Ducale Genoa.jpg,"The Palace of the Doges view from ""Piazza Matteotti"".",https://upload.wikimedia.org/wikipedia/commons/9/92/Palazzo_Ducale_Genoa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Palazzo_Ducale_Genoa.jpg/250px-Palazzo_Ducale_Genoa.jpg,"The Doge's Palace (Italian: Palazzo Ducale) is a historical building in Genoa, northern Italy. 
Once the home of the Doges of Genoa, it is now a museum and a centre for cultural events and arts exhibitions. It is situated in the heart of the city, with two different entrances and façades, the main one on Piazza Matteotti, and the second one on Piazza De Ferrari.",00014.jpg,00014.jpg,Europe
<Torre_Eurosky>,Torre Eurosky,Italy,41.81959000000001,12.45763,"Eurosky Tower, Rome.jpg",Torre Eurosky in 2011,https://upload.wikimedia.org/wikipedia/en/5/51/Eurosky_Tower%2C_Rome.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Eurosky_Tower%2C_Rome.jpg/250px-Eurosky_Tower%2C_Rome.jpg,"Torre Eurosky (or Eurosky Tower) is a skyscraper in Rome, the tallest building in the city and one of the highest residential towers in Italy.",00015.jpg,00015.jpg,Europe
<San_Anton_Palace>,San Anton Palace,Malta,35.896388888888886,14.446666666666667,San Antonio Palace and Gardens.jpg,San Anton Palace,https://upload.wikimedia.org/wikipedia/commons/6/6a/San_Antonio_Palace_and_Gardens.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/San_Antonio_Palace_and_Gardens.jpg/250px-San_Antonio_Palace_and_Gardens.jpg,"San Anton Palace (Maltese: Il-Palazz Sant'Anton) is a palace in Attard, Malta that currently serves as the official residence of the President of Malta. It was originally built in the early 17th century as a country villa for Antoine de Paule, a knight of the Order of St. John. It was expanded into a palace following de Paule's election as Grand Master in 1623.
The palace was used as a residence by subsequent Grand Masters, being enlarged a number of times in the process. It was the headquarters of the rebel National Assembly during the uprising of 1798–1800, and it later became a residence for the Civil Commissioners, Governors and Governors-General of Malta. It has been the official residence of the President since the office was created in December 1974.
The palace is surrounded by the extensive San Anton Gardens, parts of which have been open to the public since 1882.",00016.jpg,00016.jpg,Europe
"<Edificio_Allianz,_Barcelona>",Edificio Allianz,Spain,41.3767,2.1472,Allianz Barcelona - 001.jpg,Edificio Allianz,https://upload.wikimedia.org/wikipedia/commons/4/44/Allianz_Barcelona_-_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Allianz_Barcelona_-_001.jpg/250px-Allianz_Barcelona_-_001.jpg,"Edificio Allianz (Torre Allianz) is a skyscraper in Barcelona, Catalonia, Spain. Completed in 1993, it has 20 floors and rises 77 meters. It is the 41st tallest building in Barcelona. The building belongs to the Allianz Company. It lies on Carrer de Tarragona street 103, near Plaça d'Espanya and three other skyscrapers: Edificio Tarragona, Hotel Torre Catalunya, Torre Núñez y Navarro.",00017.jpg,00017.jpg,Europe
