,model,date,picture,manufacturer,class,length,height,width,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local
<Acura_CDX>,Acura CDX,2016,Acura CDX China 2017-03-19.jpg,Acura,Compact luxury crossover (B-segment),4439 mm,1597 mm,1859 mm,https://upload.wikimedia.org/wikipedia/commons/a/af/Acura_CDX_China_2017-03-19.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Acura_CDX_China_2017-03-19.jpg/250px-Acura_CDX_China_2017-03-19.jpg,"The Acura CDX is a subcompact luxury crossover SUV by Acura, a luxury subsidiary of Honda. The car made its debut at the Beijing Auto Show in April 2016. The CDX is produced at the Zengcheng Plant in Guangzhou, China and has been available since July 2016.",00001.jpg,00001.jpg
<Acura_CSX>,Acura CSX,2005,'07 Acura CSX.JPG,Honda,Entry-level luxury car,4544 mm,1435 mm,1752 mm,https://upload.wikimedia.org/wikipedia/commons/8/87/%2707_Acura_CSX.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/%2707_Acura_CSX.JPG/250px-%2707_Acura_CSX.JPG,"The Acura CSX is Acura's subcompact executive car exclusively designed for the Canadian market. The CSX is the first Acura model with two predecessors, the Integra sedan (1986–1996) and the EL (1997–2005). Like the EL, it was only available in Canada and built in Alliston, Ontario, Canada. In 2012, the ILX was introduced as the CSX's replacement, now available in both the United States and Canada.",00002.jpg,00002.jpg
<Acura_ILX>,Acura ILX,2012,2013 Acura ILX 2.4 -- 07-13-2012.JPG,Honda,Compact luxury car,179.1 in,55.6 in,70.6 in,https://upload.wikimedia.org/wikipedia/commons/f/ff/2013_Acura_ILX_2.4_--_07-13-2012.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/2013_Acura_ILX_2.4_--_07-13-2012.JPG/250px-2013_Acura_ILX_2.4_--_07-13-2012.JPG,"The Acura ILX is a compact executive car produced by Honda under the Acura brand. All ILX variants are based upon the ninth-generation Civic sedan. The ILX replaces the Acura CSX, which was sold only in Canada.
The ILX became Acura's first compact model in the United States since the RSX was discontinued after the 2006 model year, and their first compact sedan in the United States since the Integra was last produced in 2001. The ILX was also Acura's first gasoline-electric hybrid vehicle.",00003.jpg,00003.jpg
<Acura_MDX>,Acura MDX,2000,Acura-MDX.jpg,Honda,Mid-size luxury crossover SUV,188.5 in,67.6 in,77.2 in,https://upload.wikimedia.org/wikipedia/commons/5/5a/Acura-MDX.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Acura-MDX.jpg/250px-Acura-MDX.jpg,"The Acura MDX, or Honda MDX as known in Japan and Australia (only the first generation was imported), is a mid-size three-row luxury crossover, produced by the Japanese automaker Honda under its Acura luxury nameplate since 2000.  The alphanumeric moniker stands for ""Multi-Dimensional luxury"". According to Honda, the MDX is the best-selling three-row luxury crossover of all time, with cumulative U.S. sales expected to surpass 700,000 units before the end of 2014. It has ranked as the second-best selling luxury crossover after the Lexus RX, which offers only two rows of seats.
The MDX was the first crossover SUV to have third-row seating, and shares a platform with the Honda Pilot. The Pilot seats eight, while the MDX seats seven, with two seating positions in the third row. The MDX was introduced as a 2001 model, replacing the slow-selling U.S.-only body-on-frame SLX, based on the Isuzu Trooper.  In Japan, it filled a gap when the Honda Horizon (also based on the Trooper) was discontinued in 1999.  In 2003, the Honda MDX went on sale in Japan and Australia. The MDX has been the most expensive crossover in Acura's lineup, except for the 2009-13 model years when Acura added a crossover to slot above the MDX, called the ZDX.",00004.jpg,00004.jpg
<Acura_RDX>,Acura RDX,2006,2007 Acura RDX -- NHTSA.jpg,Honda,Compact luxury crossover SUV,183.7 in,65.2 in,73.8 in,https://upload.wikimedia.org/wikipedia/commons/e/ea/2007_Acura_RDX_--_NHTSA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/2007_Acura_RDX_--_NHTSA.jpg/250px-2007_Acura_RDX_--_NHTSA.jpg,"The Acura RDX is Acura’s first compact luxury crossover SUV, taking over from the MDX as Acura's entry-level crossover SUV, as the MDX grew in size and price. Originally, the RDX was built upon the same platform Honda uses for their Civic and CR-V passenger cars.  However starting from its third generation, the Acura RDX is built on its own platform according to Acura.",00005.jpg,00005.jpg
<Acura_RLX>,Acura RLX,2012,2014 Acura RLX in black.jpg,Honda,Full-size luxury car,4982 mm,1465 mm,1890 mm,https://upload.wikimedia.org/wikipedia/commons/9/94/2014_Acura_RLX_in_black.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/2014_Acura_RLX_in_black.jpg/250px-2014_Acura_RLX_in_black.jpg,"The Acura RLX is a luxury/executive car manufactured by Honda and sold under their Acura division, released in 2013. Succeeding the RL, the RLX was discontinued in 2020.",00006.jpg,00006.jpg
<Acura_TL>,Acura TL,1995,2006-TL-Front-LeftQ.jpg,Acura,Mid-size luxury car,189.3 in,57.2 in,72.2 in,https://upload.wikimedia.org/wikipedia/commons/6/64/2006-TL-Front-LeftQ.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/2006-TL-Front-LeftQ.jpg/250px-2006-TL-Front-LeftQ.jpg,"The Acura TL is a compact executive / entry-level luxury car that was manufactured by Acura. It was introduced in 1995 to replace the Acura Vigor and was badged for the Japanese-market from 1996 to 2000 as the Honda Inspire and from 1996 to 2004 as the Honda Saber. The TL was Acura's best-selling model until it was outsold by the MDX in 2007. In 2005, it ranked as the second best-selling luxury sedan in the United States behind the BMW 3 Series, but sales have decreased since then. Four generations of the Acura TL were produced, with the final fourth generation TL premiering in 2008 as a 2009 model and ending production in 2014, when it was replaced together with the TSX by the TLX.",00007.jpg,00007.jpg
<Acura_TLX>,Acura TLX,2014,2015 Acura TLX (front left).jpg,Honda,Mid-size luxury car (E),190.3 in,57.0 in,73.0 in,https://upload.wikimedia.org/wikipedia/commons/f/f5/2015_Acura_TLX_%28front_left%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/2015_Acura_TLX_%28front_left%29.jpg/250px-2015_Acura_TLX_%28front_left%29.jpg,"The Acura TLX is a compact executive car sold by Acura, the luxury division of Honda, since 2014. It is the successor to the TL and TSX models.",00008.jpg,00008.jpg
<Alfa_Romeo_147>,Alfa Romeo 147,2000,2002 Alfa Romeo 147 (MY02) Selespeed Twin Spark 5-door hatchback (2010-11-28).jpg,Alfa Romeo,Small family car (C),4223 mm,1442 mm,1729 mm,https://upload.wikimedia.org/wikipedia/commons/c/c0/2002_Alfa_Romeo_147_%28MY02%29_Selespeed_Twin_Spark_5-door_hatchback_%282010-11-28%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2002_Alfa_Romeo_147_%28MY02%29_Selespeed_Twin_Spark_5-door_hatchback_%282010-11-28%29.jpg/250px-2002_Alfa_Romeo_147_%28MY02%29_Selespeed_Twin_Spark_5-door_hatchback_%282010-11-28%29.jpg,"The Alfa Romeo 147 (Type 937) is a small family car produced by the Italian automaker Alfa Romeo from 2000 to 2010. The 147 was voted European Car of the Year in 2001.
The 147 was launched at the Turin Motor Show in June 2000 as a replacement for the Alfa Romeo 145 and 146 hatchbacks and is based on the running gear of the larger 156 saloon. It was sold with 1.6, 2.0, and 3.2-liter petrol engines, and a 1.9-liter diesel engine. A sequential, paddle operated 'Selespeed' transmission was available from launch. The earliest vehicle identification number of the 147 is dated 22 April 2000.Two trim levels, Turismo and Lusso were available, and the 147 was the first Alfa Romeo to have dual-zone climate control and electronic traction control. In production for ten years, the 147 was one of the oldest small family cars on sale in Europe at the time of its replacement, reaching a production figure of approximately 580,000.",00009.jpg,00009.jpg
<Alfa_Romeo_159>,Alfa Romeo 159,2005,Alfa 159 grey.jpg,Alfa Romeo,Compact executive car (D),4660 mm,1417 mm,1828 mm,https://upload.wikimedia.org/wikipedia/commons/2/2c/Alfa_159_grey.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Alfa_159_grey.jpg/250px-Alfa_159_grey.jpg,"The Alfa Romeo 159 (Type 939) is a compact executive car produced by Italian automobile manufacturer Alfa Romeo between 2005 and 2011. It was introduced at the 2005 Geneva Motor Show, as a replacement for the 156. The 159 used the GM/Fiat Premium platform, shared with the Alfa Romeo Brera and Spider production cars, and with the Kamal and Visconti concept cars. 
The 159 placed third in the 2006 European Car of the Year awards. Production of the 159 ended in November 2011, and around 240,000 cars were built. The 159's late transition to what was fundamentally made as an E segment platform resulted in the 159 having excessive weight, a problem shared by the Brera coupé and Spider.In 2008, changes made to the interior, dashboard, instrumentation with aluminium components introduced for various parts of the car, which reduced kerb weight by 45 kg (99 lb). Due to its executive car platform, the 159 is 225 mm (8.9 in) longer, 85 mm (3.3 in) wider than its predecessor.However, the considerable growth in dimensions deterred many 156 owners from considering the 159 as a direct replacement model. Due to the sophisticated Premium platform that the 159 is based upon, high level of passive safety was achieved, and the torsional rigidity of the chassis is one of the best in this category at 180.000 daNm/rad.",00010.jpg,00010.jpg
