,name,country,people,industry,web,logo,logo_url,logo_thumb,description,logo_url_local,logo_thumb_local,continent
<State_Grid_Corporation_of_China>,State Grid Corporation of China,China,927839,electric utility,http://www.sgcc.com.cn/ywlm/default.shtml,,,,"The State Grid Corporation of China (SGCC; Chinese: 国家电网公司; pinyin: Guójiā Diànwǎng Gōngsī), commonly known as the State Grid, is the state-owned electric utility monopoly of China. It is the largest utility company in the world, and as of 2019, the world's fifth largest company overall by revenue. In 2016/17 it was reported as having 927,839 employees, 1.1 billion customers and revenue equivalent to US$363.125 billion.After the electricity ""Plant-Grid Separation"" reform in early 2002, the assets of State Electric Power Corporation (国家电力公司) were divided into the five ""power generation groups"" that retained the power plants and five regional subsidiaries belonging to the State Grid Corporation of China in Beijing.",,,Asia
<China_Post>,China Post,China,860200,courier,http://www.chinapost.com.cn,,,,"China Post, legally the China Post Group Corporation (Chinese: 中国邮政集团有限公司), is the state-owned enterprise operating the official postal service of China, which provides the service in mainland China, excluding its special administrative regions, Hong Kong and Macau, which have their own postal service independent to the mainland's. The Corporation officially shares its office with the sub-ministry-level government agency State Post Bureau which regulates the national postal industry theoretically including the corporation.",,,Asia
<Tata_Group>,Tata Group,India,660800,conglomerate,http://www.tata.com/,,,,"Tata Group () is an Indian multinational conglomerate holding company headquartered in Mumbai, Maharashtra, India. Founded in 1868 by Jamsetji Tata, the company gained international recognition after purchasing several global companies. One of India's largest conglomerates, Tata Group is owned by Tata Sons. It is one of the biggest and oldest industrial groups in the country, founded 153 years ago in 1868.
Each Tata company operates independently under the guidance and supervision of its own board of directors and shareholders.
Significant Tata companies and subsidiaries include Tata Chemicals, Tata Communications, Tata Consultancy Services, Tata Consumer Products, Tata Elxsi, Tata Motors, Tata Power, Tata Steel, Voltas, Tata Cliq, Titan, Trent (Westside), Indian Hotels Company Limited, TajAir, TATA AutoComp systems Ltd, Vistara, Cromā and Indicash.",,,Asia
<Volkswagen_Group>,Volkswagen Group,Germany,626715,automotive,,Volkswagen Group.svg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Volkswagen_Group.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Volkswagen_Group.svg/150px-Volkswagen_Group.svg.png,"Volkswagen AG (German: [ˈfɔlksˌvaːgn̩]), known internationally as the Volkswagen Group, is a German multinational automotive manufacturing company headquartered in Wolfsburg, Lower Saxony, Germany and indirectly majority owned by the Austrian Porsche and Piëch families. It designs, manufactures and distributes passenger and commercial vehicles, motorcycles, engines, and turbomachinery and offers related services including financing, leasing and fleet management. In 2016, it was the world's largest automaker by sales, overtaking Toyota and keeping this title in 2017, 2018 and 2019, selling 10.9 million vehicles. It has maintained the largest market share in Europe for over two decades. It ranked seventh in the 2018 Fortune Global 500 list of the world's largest companies. The Volkswagen Group sells passenger cars under the Audi, Bentley, Bugatti, Lamborghini, Porsche, SEAT, Škoda and Volkswagen marques; light commercial vehicles under the Volkswagen Commercial Vehicles brand; motorcycles under the Ducati brand; and heavy commercial vehicles via the marques of listed subsidiary TRATON: MAN, Scania, and Volkswagen Caminhões e Ônibus. It is divided into two primary divisions—the Automotive Division and the Financial Services Division—and as of 2008 had approximately 342 subsidiary companies. Volkswagen also has two major joint-ventures in China (FAW-Volkswagen and SAIC Volkswagen). The company has operations in approximately 150 countries and operates 100 production facilities across 27 countries.
Volkswagen was founded in 1937, to manufacture the car which would become known as the Beetle. The company's production grew rapidly in the 1950s and 1960s, and in 1965 it acquired Auto Union, which subsequently produced the first post-war Audi models. Volkswagen launched a new generation of front-wheel drive vehicles in the 1970s, including the Passat, Polo and Golf; the last became its bestseller. Volkswagen acquired a controlling stake in SEAT in 1986, making it the first non-German marque of the company, and acquired control of Škoda in 1994, of Bentley, Lamborghini and Bugatti in 1998, Scania in 2008 and of Ducati, MAN and Porsche in 2012. The company's operations in China have grown rapidly in the past decade with the country becoming its largest market.
Volkswagen Aktiengesellschaft is a public company and has a primary listing on the Frankfurt Stock Exchange, where it is a constituent of the Euro Stoxx 50 stock market index, and secondary listings on the Luxembourg Stock Exchange, SIX Swiss Exchange. It has been traded in the United States via American depositary receipts since 1988, currently on the OTC Marketplace. Volkswagen delisted from the London Stock Exchange in 2013. The state of Lower Saxony holds 12.7% of the company's shares, granting it 20% of the voting rights.",00001.svg,00001.png,Europe
<RAO_UES>,RAO UES,Russia,577000,electricity,,,,,"OAO RAO UES (OAO Unified Energy System of Russia; Russian: ЕЭС России or Russian: Единая Энергетическая Система) was an electric power holding company in Russia. It controlled about 70% of Russia's installed electric capacity, 96% of its high-voltage grid and over 70% of its transmission lines. In addition to the Russian market, RAO UES exported electricity to Scandinavia and to other members of the CIS.  The last head of RAO UES was Anatoly Chubais.",,,Asia
<Deutsche_Bundespost>,Deutsche Bundespost,Germany,544000,logistics,http://www.bundespost.de/,"and stylized lightning, used since the early 1980s",,,"The Deutsche Bundespost (German federal post office) was a German state-run postal service and telecommunications business founded in 1947. It was initially the second largest federal employer during its time. After staff reductions in the 1980s, the staff was reduced to roughly 543,200 employees in 1985. The corporation was dissolved in 1995 under the first and second postal reforms that took place in the German Post Office. Following the reforms, the former Deutsche Bundespost was broken into three publicly traded corporations: Deutsche Post AG (German Post), Deutsche Telekom (German Telecom), and Deutsche Postbank AG (German Post Bank).",,,Europe
<PetroChina>,PetroChina,China,534652,oil and gas,http://www.petrochina.com.cn/ptr/,,,,"PetroChina Company Limited (simplified Chinese: 中国石油天然气股份有限公司; traditional Chinese: 中國石油天然氣股份有限公司) is a Chinese oil and gas company and is the listed arm of state-owned China National Petroleum Corporation (CNPC), headquartered in Dongcheng District, Beijing. The company is currently Asia's largest oil and gas producer and was China's second biggest oil producer in 2006. Traded in Hong Kong and New York, the mainland enterprise announced its plans to issue stock in Shanghai in November 2007, and subsequently entered the constituent of SSE 50 Index.",,,Asia
<Yum!_Brands>,Yum! Brands,United States,505000,restaurants,http://www.yum.com/,Yum! Brands Logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/59/Yum%21_Brands_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Yum%21_Brands_logo.svg/150px-Yum%21_Brands_logo.svg.png,"Yum! Brands, Inc. (or Yum!), formerly Tricon Global Restaurants, Inc., is an American fast food corporation listed on the Fortune 1000. Yum! operates the brands KFC, Pizza Hut, Taco Bell, The Habit Burger Grill, and WingStreet worldwide, except in China, where the brands are operated by a separate company, Yum China. Prior to 2011, Yum! also owned Long John Silver's and A&W Restaurants.
Based in Louisville, Kentucky, it is one of the world's largest fast food restaurant companies in terms of system units. In 135 nations and territories worldwide, they operate 43,617 restaurants, including 2,859 that are company-owned and 40,758 that are franchised.",00002.svg,00002.png,North America
<China_National_Aero-Technology_Import_&_Export_Corporation>,China National Aero-Technology Import & Export Corporation,China,500000,defense,http://www.catic.cn/en/,CATIC Logo 2.gif,https://upload.wikimedia.org/wikipedia/en/2/26/CATIC_Logo_2.gif,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/CATIC_Logo_2.gif/150px-CATIC_Logo_2.gif,"China National Aero-Technology Import & Export Corporation (CATIC, Chinese: 中航技进出口有限责任公司) is a Chinese state-owned defense company with a core business in aviation products and technology. It is the exclusive representative of the Aviation Industry Corporation of China (AVIC) in the global market.",00001.gif,00001.gif,Asia
<Charoen_Pokphand>,Charoen Pokphand,Thailand,500000,conglomerate,http://www.cpgroupglobal.com,CP-Group-logo.png,https://upload.wikimedia.org/wikipedia/en/3/39/CP-Group-logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/CP-Group-logo.png/150px-CP-Group-logo.png,"The Charoen Pokphand Group (CP) (Thai: เจริญโภคภัณฑ์; RTGS: Charoen Phokkhaphan) is a Thai conglomerate based in Bangkok. It is Thailand's largest private company and one of the world's largest conglomerates. The company describes itself as having eight business lines covering 13 business groups. As of 2020 the group has investments in 21 countries.It owns controlling stakes in Charoen Pokphand Foods (CPF),  the world's largest producer of feed, shrimp , and a global top three producer of poultry , pork, among other agricultural produces. It also operates Southeast Asia's largest retail business by revenue, with over  12,000 Seven Eleven stores the second largest in the world after the 20,000 stores in Japan and a leading cash and carry business through Siam Makro. In the telecommunications sector, CP Group subsidiary, True Group, is one of the largest telecom firms in Southeast Asia with over 25 million mobile customers.
With some 200 business subsidiaries in mainland China, CP Group is known in China as ""Zhèng Dà"" (正大). When China opened up its economy in 1978, the CP Group was the very first foreign investor in the country and became the first foreign company registered in the special economic zone of Shenzhen, Guangdong. The company is the single largest investor in Mainland China today commanding over fifth of China's entire feed meal market. The corporate registration number was ""0001."" Through its extensive investments, CP Group has been credited with changing the country's dietary habits and leading China's green revolution.",00001.png,00003.png,Asia
