,capital,latitude,longitude,currency,imagemap,people,picture,area,picture_url,picture_thumb,imagemap_url,imagemap_thumb,description,picture_url_local,picture_thumb_local,imagemap_url_local,imagemap_thumb_local,name,continent
<Afghanistan>,Kabul,33.0,65.0,Afghan afghani,Afghanistan - Location Map (2013) - AFG - UNOCHA.svg,33332025,File:Flag of Afghanistan.svg,652864.0,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/250px-Flag_of_Afghanistan.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/31/Afghanistan_-_Location_Map_%282013%29_-_AFG_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Afghanistan_-_Location_Map_%282013%29_-_AFG_-_UNOCHA.svg/250px-Afghanistan_-_Location_Map_%282013%29_-_AFG_-_UNOCHA.svg.png,"Afghanistan ( (listen); Pashto/Dari: افغانستان, Pashto: Afġānistān [avɣɒnisˈtɒn, ab-], Dari: Afġānestān [avɣɒnesˈtɒn]), officially the Islamic Republic of Afghanistan, is a landlocked country at the crossroads of Central and South Asia. Afghanistan is bordered by Pakistan to the east and south; Iran to the west; Turkmenistan, Uzbekistan, and Tajikistan to the north; and China to the northeast. Occupying 652,000 square kilometers (252,000 sq mi), it is a mountainous country with plains in the north and southwest. Kabul is the capital and largest city. The population is around 32 million, composed mostly of ethnic Pashtuns, Tajiks, Hazaras, and Uzbeks.
Settled life emerged in what are now Afghanistan and adjoining areas 9,000 years ago, evolving gradually into the Indus Valley Civilization of the third millennium BCE. Indus civilization's archaeological sites were discovered on the Amu Darya at Shortugai and in Kandahar Province at Mundigak; the latter flourished during the Bronze Age Helmand culture. Indo-Aryans migrated through Bactria-Margiana area to Gandhara, followed by the rise of the Iron Age Yaz I culture (ca. 1500–1100 BCE), which has been closely associated with the culture depicted in the Avesta, the ancient religious texts of Zoroastrianism. The region, then known as ""Ariana"", fell to Achaemenid Persians in the 6th century BCE, followed by Alexander the Great in the 4th century BCE, who married Roxana in Bactria before his Kabul Valley campaign, where he faced resistance from Aspasioi and Assakan tribes. The Greco-Bactrian Kingdom became the eastern end of the Hellenistic world. Following the conquest by Mauryan Indians, Buddhism and Hinduism flourished in the region for centuries. The Kushan emperor Kanishka, who ruled from his twin capitals of Kapiśi and Puruṣapura, played an important role in the spread of Mahayana Buddhism to China and Central Asia. Various other Buddhist and Hindu dynasties also ruled the region, including the Saka, Kidarite, Hephthalite, Alkhon, Nezak, Zunbil, Turk Shahi, and Hindu Shahi.
Muslims brought Islam to Sassanian-held Herat and Zaranj in the mid-7th century, while fuller Islamization was achieved between the 9th and 12th centuries under the Saffarid, Samanid, Ghaznavid, and Ghurid dynasties. In the 13th century, the Khwarazmian-held region was ravaged by Mongols. Parts of the region were later ruled by the Khalji, Timurid, Lodi, Sur, Mughal, and Safavid empires. The political history of the modern state of Afghanistan began with the Hotak dynasty, whose founder Mirwais Hotak declared southern Afghanistan independent in 1709. In 1747, Ahmad Shah Durrani, who is considered as the founder of the state, established the Durrani Empire with its capital at Kandahar. In 1776, the Durrani capital was moved to Kabul while Peshawar became the winter capital; the latter was lost to Sikhs in 1823 followed by an unsuccessful attempt to recover it in 1837. In the late 19th century, Afghanistan became a buffer state in the ""Great Game"" between British India and the Russian Empire. In the First Anglo-Afghan War, the British East India Company seized control of Afghanistan briefly, but following the Third Anglo-Afghan War in 1919 the country was free of foreign influence, eventually becoming a monarchy under Amanullah Khan, until almost 50 years later when Zahir Shah was overthrown and a republic was established. In 1978, after a second coup, Afghanistan first became a socialist state and then a Soviet protectorate, evoking the Soviet–Afghan War in the 1980s against mujahideen rebels. By 1996, most of the country was captured by the Islamic fundamentalist Taliban, who ruled as a totalitarian regime for over five years; they were removed from power after the US invasion in 2001 but still control a significant portion of the country. The ongoing war between the government and the Taliban has contributed to the perpetuation of Afghanistan's problematic human rights record including complications of women's rights, with numerous abuses committed by both sides, such as the killing of civilians.
Afghanistan is a unitary presidential Islamic republic. The country has high levels of terrorism, poverty, child malnutrition, and corruption. It is a member of the United Nations, the Organisation of Islamic Cooperation, the South Asian Association for Regional Cooperation, the Group of 77, the Economic Cooperation Organization, and the Non-Aligned Movement. Afghanistan's economy is the world's 96th largest, with a gross domestic product (GDP) of $72.9 billion by purchasing power parity; the country fares much worse in terms of per-capita GDP (PPP), ranking 169th out of 186 countries as of 2018.",00001.svg,00001.png,00001.svg,00001.png,Afghanistan,Asia
<Albania>,Tirana,41.0,20.0,Albanian lek,Europe-Albania.svg,2800138,Flag of Albania.svg,28748.0,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/250px-Flag_of_Albania.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/ce/Europe-Albania.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Europe-Albania.svg/250px-Europe-Albania.svg.png,"Albania ( (listen) a(w)l-BAY-nee-ə; Albanian: Shqipëri or Shqipëria; Gheg Albanian: Shqipni or Shqipnia also Shqypni or Shqypnia), officially the Republic of Albania (Albanian: Republika e Shqipërisë, pronounced [ɾɛpuˈblika ɛ ʃcipəˈɾiːsə]), is a country in Southeast Europe on the Adriatic and Ionian Sea within the Mediterranean Sea. It shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east, Greece to the south and maritime borders with Greece, Montenegro and Italy to the west.
Geographically, the country displays varied climatic, geological, hydrological, and morphological conditions, defined in an area of 28,748 km2 (11,100 sq mi). It possesses remarkable diversity with the landscape ranging from the snow-capped mountains in the Albanian Alps as well as the Korab, Skanderbeg, Pindus and Ceraunian Mountains to the hot and sunny coasts of the Albanian Adriatic and Ionian Sea along the Mediterranean Sea.
Historically, the country has been inhabited by numerous civilisations such as the Illyrians, Thracians, Ancient Greeks, Romans, Byzantines, Venetians and Ottomans. The Albanians established the autonomous Principality of Arbër in the 12th century. The Kingdom of Albania and Principality of Albania formed between the 13th and 14th centuries. Prior to the Ottoman conquest of Albania in the 15th century, the Albanian resistance to Ottoman expansion into Europe led by Gjergj Kastrioti Skanderbeg won them acclaim over most of Europe.
Between the 18th and 19th centuries, cultural developments, widely attributed to Albanians having gathered both spiritual and intellectual strength, conclusively led to the Albanian Renaissance. After the defeat of the Ottomans in the Balkan Wars, the modern nation state of Albania declared independence in 1912. In the 20th century, the Kingdom of Albania was invaded by Italy which formed Greater Albania before becoming a protectorate of Nazi Germany. Enver Hoxha formed Communist Albania after the Second World War and launched the Albanians on a path of oppression and decades of isolation. The Revolutions of 1991 concluded the fall of communism in Albania and eventually the establishment of the current Republic of Albania.
Politically, the country is a unitary parliamentary constitutional republic and developing country with an upper-middle income economy dominated by the service sector, followed by manufacturing. It went through a process of transition following the end of communism in 1990, from centralized planning to a market-based economy. Albania provides universal health care and free primary and secondary education to its citizens.The country is a member of the United Nations, World Bank, UNESCO, NATO, WTO, COE, OSCE, and OIC. It is an official candidate for membership in the European Union. It is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation and Union for the Mediterranean.",00002.svg,00002.png,00002.svg,00002.png,Albania,Europe
<Algeria>,Algiers,28.0,2.0,Algerian dinar,Algeria_(orthographic_projection).svg,40400000,Flag of Algeria.svg,2381741.0,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/250px-Flag_of_Algeria.svg.png,https://upload.wikimedia.org/wikipedia/commons/2/25/Algeria_%28orthographic_projection%29.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Algeria_%28orthographic_projection%29.svg/250px-Algeria_%28orthographic_projection%29.svg.png,"Algeria ( (listen) al-JEER-ee-ə, Arabic: الجزائر‎ al-Jazā'ir), officially the People's Democratic Republic of Algeria, is a country in the Maghreb region of North Africa. The capital and most populous city is Algiers, located in the far north of the country on the Mediterranean coast. With an area of 2,381,741 square kilometres (919,595 sq mi), Algeria is the tenth-largest country in the world, and the largest by area in the African Union and the Arab world. With an estimated population of over 44 million, it is the eighth-most populous country in Africa.
Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the southeast by Niger, to the southwest by Mali, Mauritania, and the Western Saharan territory, to the west by Morocco, and to the north by the Mediterranean Sea. The country has a semi-arid geography, with most of the population living in the fertile north and the Sahara dominating the geography of the south. This arid geography makes the country very vulnerable to climate change .
Pre-1962 Algeria has known many empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Idrisid, Aghlabid, Rustamid, Fatimids, Zirid, Hammadids, Almoravids, Almohads, Zayyanids, Spaniards, Ottomans and finally, the French colonial empire. Most of the population is Arab-Berber, practicing Islam and using the official languages of Arabic and Berber. However, French serves as an administrative and education language in some contexts, and Algerian Arabic is the main spoken language.
Algeria has a semi-presidential republic, with local constituencies consisting of 48 provinces and 1,541 communes (counties). Algeria is a regional and middle power. It has the highest human development index of all non-island African countries and one of the largest economies on the continent, based largely on energy exports. Algeria has the 16th largest oil reserves in the world and the second largest in Africa, while it has the ninth largest reserves of natural gas. Sonatrach, the national oil company, is the largest company in Africa, supplying large amounts of natural gas to Europe. Algeria has one of the largest militaries in Africa and the largest defence budget. It is a member of the African Union, the Arab League, OPEC, the United Nations, and the Arab Maghreb Union, of which it is a founding member.",00003.svg,00003.png,00003.svg,00003.png,Algeria,Africa
<Angola>,Luanda,-12.5,18.5,Angolan kwanza,Location Angola AU Africa.svg,25789024,Flag of Angola.svg,1246700.0,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/250px-Flag_of_Angola.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/ca/Location_Angola_AU_Africa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Location_Angola_AU_Africa.svg/250px-Location_Angola_AU_Africa.svg.png,"Angola ( (listen); Portuguese: [ɐ̃ˈɡɔlɐ]), officially the Republic of Angola (Portuguese: República de Angola), is a country on the west coast of Southern Africa. It is the seventh-largest country in Africa, bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. Angola has an exclave province, the province of Cabinda that borders the Republic of the Congo and the Democratic Republic of the Congo. The capital and largest city of Angola is Luanda.
The territory of Angola has been inhabited since the Paleolithic Era, hosting a wide variety of ethnic groups, tribes and kingdoms. The nation state of Angola originated from Portuguese colonisation, which initially began with coastal settlements and trading posts founded in the 16th century. In the 19th century, European settlers gradually began to establish themselves in the interior. The Portuguese colony that became Angola did not have its present borders until the early 20th century because of resistance by groups such as the Cuamato, the Kwanyama and the Mbunda.
After a protracted anti-colonial struggle, independence was achieved in 1975 as the Marxist–Leninist People's Republic of Angola, a one-party state supported by the Soviet Union and Cuba. The civil war between the ruling People's Movement for the Liberation of Angola (MPLA) and the insurgent anti-communist National Union for the Total Independence of Angola (UNITA), supported by the United States and apartheid South Africa, lasted until 2002. The sovereign state has since become a relatively stable unitary, presidential constitutional republic.
Angola has vast mineral and petroleum reserves, and its economy is among the fastest-growing in the world, especially since the end of the civil war; however, the standard of living remains low for most of the population, and life expectancy in Angola is among the lowest in the world, while infant mortality is among the highest. Angola's economic growth is highly uneven, with most of the nation's wealth concentrated in a disproportionately small sector of the population.Angola is a member state of the United Nations, OPEC, African Union, the Community of Portuguese Language Countries, and the Southern African Development Community. A highly multiethnic country, Angola's 25.8 million people span tribal groups, customs, and traditions. Angolan culture reflects centuries of Portuguese rule, in the predominance of the Portuguese language and of the Catholic Church.",00004.svg,00004.png,00004.svg,00004.png,Angola,Africa
<Anguilla>,The Valley,18.22723,-63.04899,Eastern Caribbean dollar,Anguilla - Location Map (2013) - AIA - UNOCHA.svg,16418,Flag of Anguilla.svg,91.0,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/250px-Flag_of_Anguilla.svg.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/Anguilla_-_Location_Map_%282013%29_-_AIA_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Anguilla_-_Location_Map_%282013%29_-_AIA_-_UNOCHA.svg/250px-Anguilla_-_Location_Map_%282013%29_-_AIA_-_UNOCHA.svg.png,"Anguilla ( ann-GWIL-ə) is a British overseas territory in the Caribbean. It is one of the most northerly of the Leeward Islands in the Lesser Antilles, lying east of Puerto Rico and the Virgin Islands and directly north of Saint Martin. The territory consists of the main island of Anguilla, approximately 16 miles (26 kilometres) long by 3 miles (5 km) wide at its widest point, together with a number of much smaller islands and cays with no permanent population. The territory's capital is The Valley. The total land area of the territory is 35 square miles (91 km2), with a population of approximately 17,400 (July 2018 est.).",00005.svg,00005.png,00005.svg,00005.png,Anguilla,North America
<Argentina>,Buenos Aires,-34.0,-64.0,Argentine peso,Argentina orthogonal.svg,43886748,Flag of Argentina.svg,2780400.0,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/250px-Flag_of_Argentina.svg.png,https://upload.wikimedia.org/wikipedia/commons/e/ec/Argentina_orthogonal.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Argentina_orthogonal.svg/250px-Argentina_orthogonal.svg.png,"Argentina (Spanish: [aɾxenˈtina]), officially the Argentine Republic (Spanish: República Argentina), is a country located mostly in the southern half of South America. Sharing the bulk of the Southern Cone with Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south. With a mainland area of 2,780,400 km2 (1,073,500 sq mi), Argentina is the eighth-largest country in the world, the fourth largest in the Americas, the second largest in South America after Brazil, and the largest Spanish-speaking nation by area. The sovereign state is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one autonomous city (ciudad autónoma), Buenos Aires, which is the federal capital of the nation (Spanish: Capital Federal) as decided by Congress. The provinces and the capital have their own constitutions, but exist under a federal system. Argentina claims sovereignty over part of Antarctica, the Falkland Islands (Spanish: Islas Malvinas), and South Georgia and the South Sandwich Islands.
The earliest recorded human presence in modern-day Argentina dates back to the Paleolithic period. The Inca Empire expanded to the northwest of the country in Pre-Columbian times. The country has its roots in Spanish colonization of the region during the 16th century. Argentina rose as the successor state of the Viceroyalty of the Río de la Plata, a Spanish overseas viceroyalty founded in 1776. The declaration and fight for independence (1810–1818) was followed by an extended civil war that lasted until 1861, culminating in the country's reorganization as a federation of provinces with Buenos Aires as its capital city. The country thereafter enjoyed relative peace and stability, with several waves of European immigration, mainly Italians and Spaniards, radically reshaping its cultural and demographic outlook; 62.5% of the population has full or partial Italian ancestry, and the Argentine culture has significant connections to the Italian culture.The almost-unparalleled increase in prosperity led to Argentina becoming the seventh wealthiest nation in the world by the early 20th century. According to the Maddison Historical Statistics Project, Argentina had the world's highest real GDP per capita in 1895 and 1896, and was consistently in the top ten before at least 1920. Currently, it is ranked 61st in the world. Following the Great Depression in the 1930s, Argentina descended into political instability and economic decline that pushed it back into underdevelopment, although it remained among the fifteen richest countries for several decades. Following the death of President Juan Perón in 1974, his widow, Isabel Martínez de Perón, ascended to the presidency. She was overthrown in 1976 by a U.S.-backed coup which installed a right-wing military dictatorship. The military government persecuted and murdered numerous political critics, activists, and leftists in the Dirty War, a period of state terrorism that lasted until the election of Raúl Alfonsín as president in 1983. Several of the junta's leaders were later convicted of their crimes and sentenced to imprisonment.
Argentina is a developing country and ranks 48th on the Human Development Index, the second highest in Latin America after Chile. It is a regional power in Latin America and retains its historic status as a middle power in international affairs. Argentina maintains the second largest economy in South America, the third-largest in Latin America, and is a member of G-15 and G20. It is also a founding member of the United Nations, World Bank, World Trade Organization, Mercosur, Community of Latin American and Caribbean States and the Organization of Ibero-American States.",00006.svg,00006.png,00006.svg,00006.png,Argentina,South America
<Armenia>,Yerevan,40.0,45.0,Armenian dram,Armenia (orthographic projection).svg,2998600,Flag of Armenia.svg,29743.0,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/250px-Flag_of_Armenia.svg.png,https://upload.wikimedia.org/wikipedia/commons/9/96/Armenia_%28orthographic_projection%29.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Armenia_%28orthographic_projection%29.svg/250px-Armenia_%28orthographic_projection%29.svg.png,"Armenia ( (listen); Armenian: Հայաստան, romanized: Hayastan, IPA: [hɑjɑsˈtɑn]), officially the Republic of Armenia (Armenian: Հայաստանի Հանրապետություն, romanized: Hayastani Hanrapetut'yun, IPA: [hɑjɑstɑˈni hɑnɾɑpɛtutʰˈjun]), is a landlocked country in the South Caucasus region of Eurasia. Located in Western Asia, on the Armenian Highlands, it is bordered by Turkey to the west, Georgia to the north, the de facto independent Republic of Artsakh and Azerbaijan to the east, and Iran and Azerbaijan's exclave of Nakhchivan to the south.Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage. Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia. The Kingdom of Armenia reached its height under Tigranes the Great in the 1st century BC and became the first state in the world to adopt Christianity as its official religion in the late 3rd or early 4th century AD. The official date of state adoption of Christianity is 301. The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century. Under the Bagratuni dynasty, the Bagratid Kingdom of Armenia was restored in the 9th century. Declining due to the wars against the Byzantines, the kingdom fell in 1045 and Armenia was soon after invaded by the Seljuk Turks. An Armenian principality and later a kingdom Cilician Armenia was located on the coast of the Mediterranean Sea between the 11th and 14th centuries.
Between the 16th and 19th centuries, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and Persian empires, repeatedly ruled by either of the two over the centuries. By the 19th century, Eastern Armenia had been conquered by the Russian Empire, while most of the western parts of the traditional Armenian homeland remained under Ottoman rule. During World War I, 1.5 million Armenians living in their ancestral lands in the Ottoman Empire were systematically exterminated in the Armenian Genocide. In 1918, following the Russian Revolution, all non-Russian countries declared their independence after the Russian Empire ceased to exist, leading to the establishment of the First Republic of Armenia. By 1920, the state was incorporated into the Transcaucasian Socialist Federative Soviet Republic, and in 1922 became a founding member of the Soviet Union. In 1936, the Transcaucasian state was dissolved, transforming its constituent states, including the Armenian Soviet Socialist Republic, into full Union republics. The modern Republic of Armenia became independent in 1991 during the dissolution of the Soviet Union.
Armenia is a developing country and ranks 81st on the Human Development Index (2018). Its economy is primarily based on industrial output and mineral extraction. Despite recent economic growth, considerable unemployment and poverty are still prevalent. The country is a member of the Eurasian Economic Union, the Council of Europe and the Collective Security Treaty Organization. Armenia supports the de facto independent Artsakh, which was proclaimed in 1991. Armenia also recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment. The unique Armenian alphabet was created by Mesrop Mashtots in 405 AD.",00007.svg,00007.png,00007.svg,00007.png,Armenia,Asia
<Aruba>,Oranjestad,12.5,-69.96666666666667,Aruban florin,Aruba in its region.svg,103400,Flag of Aruba.svg,178.91,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/250px-Flag_of_Aruba.svg.png,https://upload.wikimedia.org/wikipedia/commons/8/8d/Aruba_in_its_region.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Aruba_in_its_region.svg/250px-Aruba_in_its_region.svg.png,"Aruba ( ə-ROO-bə, Dutch: [aːˈrubaː, -ryb-] (listen), Papiamento: [aˈruba]) is an island and a constituent country of the Kingdom of the Netherlands lying in the southern Caribbean Sea, located about 29 kilometres (18 mi) north of the Venezuelan peninsula of Paraguaná  and 80 kilometres (50 mi) northwest of Curaçao. It measures 32 kilometres (20 mi) long from its northwestern to its southeastern end and 10 kilometres (6 mi) across at its widest point. Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands. Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean.
Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals. Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions. Its capital is Oranjestad.Unlike much of the Caribbean region, Aruba has a dry climate and an arid or desert, cactus-strewn landscape. This climate has helped tourism as visitors to the island can reliably expect warm, sunny clear skies year-round. It has a land area of 179 km2 (69.1 sq mi) and is densely populated, with a total of 101,484 inhabitants at the 2010 Census. Current estimates of the population place it at 116,600 (July 2018 est.) It lies outside Hurricane Alley.",00008.svg,00008.png,00008.svg,00008.png,Aruba,North America
<Austria>,Vienna,47.33333333333334,13.333333333333336,Euro sign,EU-Austria.svg,8725931,Flag of Austria.svg,83879.0,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/250px-Flag_of_Austria.svg.png,https://upload.wikimedia.org/wikipedia/commons/9/9d/EU-Austria.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/EU-Austria.svg/250px-EU-Austria.svg.png,"Austria ( (listen), ; German: Österreich [ˈøːstɐʁaɪ̯ç] (listen)), officially the Republic of Austria (German: Republik Österreich, listen ), is a landlocked East Alpine country in the southern part of Central Europe. It is composed of nine federated states (Bundesländer), one of which is Vienna, Austria's capital and its largest city. It is bordered by Germany to the northwest; the Czech Republic to the north; Slovakia to the northeast; Hungary to the east; Slovenia and Italy to the south; and Switzerland and Liechtenstein to the west. Austria occupies an area of 83,879 km2 (32,386 sq mi) and has a population of nearly 9 million people. While German is the country's official language, many Austrians communicate informally in a variety of Bavarian dialects.Austria initially emerged as a margraviate around 976 and developed into a duchy and archduchy. In the 16th century, Austria started serving as the heart of the Habsburg Monarchy and the junior branch of the House of Habsburg – one of the most influential royal dynasties in history. As an archduchy, it was a major component and administrative centre of the Holy Roman Empire. Early in the 19th century, Austria established its own empire, which became a great power and the leading force of the German Confederation but pursued its own course independently of the other German states. Following the Austro-Prussian War and the compromise with Hungary, the Dual Monarchy was established.
Austria was involved in World War I under Emperor Franz Joseph following the assassination of Archduke Ferdinand, the presumptive successor to the Austro-Hungarian throne. After the defeat and the dissolution of the Monarchy, the Republic of German-Austria was proclaimed with the intent of the union with Germany, which eventually failed because of the Allied Powers and the state remained unrecognized. In 1919 the First Austrian Republic became the legal successor of Austria. In 1938, the Austrian-born Adolf Hitler, who became the Chancellor of the German Reich, achieved the annexation of Austria by the Anschluss. Following the defeat of Nazi Germany in 1945 and an extended period of Allied occupation, Austria was re-established as a sovereign and self-governing democratic nation known as the Second Republic.
Austria is a parliamentary representative democracy with a directly elected Federal President as head of state and a Chancellor as head of the federal government. Major urban areas of Austria include Graz, Linz, Salzburg and Innsbruck. Austria is consistently ranked in the top 20 richest countries in the world by GDP per capita terms. The country has achieved a high standard of living and in 2018 was ranked 20th in the world for its Human Development Index. Vienna consistently ranks in the top internationally on quality-of-life indicators.The Second Republic declared its perpetual neutrality in foreign political affairs in 1955. Austria has been a member of the United Nations since 1955 and joined the European Union in 1995. It plays host to the OSCE and OPEC and is a founding member of the OECD and Interpol. Austria also signed the Schengen Agreement in 1995, and adopted the euro currency in 1999.",00009.svg,00009.png,00009.svg,00009.png,Austria,Europe
<Azerbaijan>,Baku,40.3,47.7,Azerbaijani manat,Azerbaijan with Nagorno Karabakh region.svg,9780780,Flag of Azerbaijan.svg,86600.0,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/250px-Flag_of_Azerbaijan.svg.png,https://upload.wikimedia.org/wikipedia/commons/2/2d/Azerbaijan_with_Nagorno_Karabakh_region.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Azerbaijan_with_Nagorno_Karabakh_region.svg/250px-Azerbaijan_with_Nagorno_Karabakh_region.svg.png,"Azerbaijan (UK:  (listen), US: ; Azerbaijani: Azərbaycan [ɑːzæɾbɑjˈd͡ʒɑn]), officially the Republic of Azerbaijan (Azerbaijani: Azərbaycan Respublikası [ɑːzæɾbɑjˈd͡ʒɑn ɾespublikɑˈsɯ]), is a country in the Caucasus region of Eurasia. Located at the crossroads of Eastern Europe and Western Asia, it is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west and Iran to the south. The exclave of Nakhchivan is bounded by Armenia to the north and east, Iran to the south and west, and has an 10 km (6.2 mi) long border with Turkey in the northwest.
The Azerbaijan Democratic Republic proclaimed its independence in 1918 and became the first secular democratic Muslim-majority state. In 1920, the country was incorporated into the Soviet Union as the Azerbaijan Soviet Socialist Republic. The modern Republic of Azerbaijan proclaimed its independence on 30 August 1991, shortly before the dissolution of the USSR in the same year. In September 1991, the Armenian majority of the disputed Nagorno-Karabakh region seceded to form the Republic of Artsakh. The region and seven adjacent districts outside it became de facto independent with the end of the Nagorno-Karabakh War in 1994. These regions are internationally recognized as part of Azerbaijan pending a solution to the status of the Nagorno-Karabakh through negotiations facilitated by the OSCE.Azerbaijan is a unitary semi-presidential republic. It is one of six independent Turkic states and an active member of the Turkic Council and the TÜRKSOY community. Azerbaijan has diplomatic relations with 182 countries and holds membership in 38 international organizations, including the United Nations (since 1992), the Council of Europe, the Non-Aligned Movement, the OSCE, and the NATO Partnership for Peace (PfP) program. It is one of the founding members of GUAM, the Commonwealth of Independent States (CIS) and the Organisation for the Prohibition of Chemical Weapons. Azerbaijan also holds observer status in the World Trade Organization.While around 97% of the population is Muslim, the Constitution of Azerbaijan does not declare an official religion and all major political forces in the country are secularist. Azerbaijan is a developing country and ranks 87th on the Human Development Index. It has a high rate of economic development and literacy, as well as a low rate of unemployment. However, the ruling party, the New Azerbaijan Party, in power since 1993, has been accused of authoritarian leadership and deteriorating the country's human rights record, including increasing restrictions on civil liberties, particularly on press freedom and political repression.",00010.svg,00010.png,00010.svg,00010.png,Azerbaijan,Asia
