name,language,frequency
Martin,fr,72
Bernard,fr,55
Roux,fr,46
Thomas,fr,44
Michel,fr,43
Blanc,fr,43
Bertrand,fr,41
Dubois,fr,41
Petit,fr,38
Durand,fr,37
Faure,fr,36
Fournier,fr,36
André,fr,34
Simon,fr,34
Boyer,fr,33
Fabre,fr,33
Rousseau,fr,33
Richard,fr,32
Moreau,fr,32
Robert,fr,31
Adam,fr,31
Laurent,fr,30
Vincent,fr,28
Roy,fr,28
Guérin,fr,28
Girard,fr,27
Morel,fr,27
Dumont,fr,27
Robin,fr,26
Henry,fr,26
Bourbon,fr,25
Perrin,fr,25
Gautier,fr,25
Lemoine,fr,25
Duval,fr,25
David,fr,24
Lefèvre,fr,24
Garnier,fr,24
Mercier,fr,24
Clément,fr,24
Bonnet,fr,23
Vidal,fr,23
Bertin,fr,23
Barbier,fr,23
Masson,fr,22
Renaud,fr,22
Lefebvre,fr,22
Roche,fr,22
Rothschild,fr,21
Gaillard,fr,21
Aubert,fr,21
Rey,fr,21
Leroy,fr,21
Dupont,fr,21
Marchand,fr,21
Guyot,fr,21
Brunet,fr,21
Fleury,fr,21
Legrand,fr,20
Rivière,fr,20
Prévost,fr,20
Lévy,fr,20
Lacroix,fr,20
Roussel,fr,20
Rolland,fr,19
Boulanger,fr,19
François,fr,19
Breton,fr,19
Gauthier,fr,19
Meyer,fr,19
Dumas,fr,19
Giraud,fr,18
Blanchard,fr,18
Chevalier,fr,18
Carré,fr,18
Noailles,fr,18
Cohen,fr,18
Lambert,fr,18
Perrier,fr,18
Lemaire,fr,17
Deschamps,fr,17
Aubry,fr,17
Gérard,fr,17
Charpentier,fr,17
Marie,fr,17
Meunier,fr,17
Hubert,fr,17
Mathieu,fr,17
Lamy,fr,16
Arnaud,fr,16
Boucher,fr,16
Bigot,fr,16
Monnier,fr,16
Fontaine,fr,16
Caron,fr,16
Camus,fr,15
Muller,fr,15
Berger,fr,15
Lebrun,fr,15
Bazin,fr,15
Nicolas,fr,15
Langlois,fr,15
Picard,fr,15
Noël,fr,15
Bloch,fr,15
Colin,fr,15
Dupuy,fr,15
Lucas,fr,15
Bourgeois,fr,15
Brun,fr,15
Humbert,fr,14
Jullien,fr,14
Schneider,fr,14
Jacob,fr,14
Villeneuve,fr,14
Favre,fr,14
Pons,fr,14
Lenoir,fr,14
Rémy,fr,14
Gaudin,fr,14
Bailly,fr,14
Beaulieu,fr,14
Grenier,fr,14
Olivier,fr,14
Baron,fr,14
Besson,fr,14
Chevallier,fr,14
Vaillant,fr,13
Barrière,fr,13
Joubert,fr,13
Pierre,fr,13
Joly,fr,13
Dreyfus,fr,13
Lafont,fr,13
Berthier,fr,13
Millot,fr,13
Klein,fr,13
Kahn,fr,13
Benoist,fr,13
Ricard,fr,13
Huet,fr,13
Ferrand,fr,13
Morin,fr,13
Denis,fr,13
Leroux,fr,13
Dufour,fr,13
Moulin,fr,13
Tardieu,fr,13
Delaunay,fr,13
Lejeune,fr,13
Pascal,fr,13
Roger,fr,12
Beaumont,fr,12
Tellier,fr,12
Perret,fr,12
Ferry,fr,12
Geoffroy,fr,12
Lacombe,fr,12
Bourdon,fr,12
Hardy,fr,12
Marion,fr,12
