name,gender,language,frequency
Marie,f,fr,205
Catherine,f,fr,105
Françoise,f,fr,97
Anne,f,fr,94
Jeanne,f,fr,79
Sophie,f,fr,76
Isabelle,f,fr,62
Louise,f,fr,59
Marguerite,f,fr,59
Hélène,f,fr,56
Jacqueline,f,fr,54
Dominique,f,fr,52
Claire,f,fr,48
Nathalie,f,fr,46
Élisabeth,f,fr,44
Suzanne,f,fr,44
Caroline,f,fr,43
Christine,f,fr,43
Madeleine,f,fr,40
Brigitte,f,fr,40
Geneviève,f,fr,40
Michèle,f,fr,38
Cécile,f,fr,35
Nicole,f,fr,34
Valérie,f,fr,33
Laurence,f,fr,33
Sylvie,f,fr,33
Florence,f,fr,32
Delphine,f,fr,31
Yvonne,f,fr,30
Virginie,f,fr,30
Sandrine,f,fr,29
Colette,f,fr,29
Charlotte,f,fr,29
Véronique,f,fr,29
Julie,f,fr,29
Camille,f,fr,28
Pauline,f,fr,27
Marion,f,fr,27
Pascale,f,fr,26
Martine,f,fr,26
Laure,f,fr,26
Alice,f,fr,25
Émilie,f,fr,25
Monique,f,fr,24
Audrey,f,fr,24
Chantal,f,fr,24
Emmanuelle,f,fr,23
Madame,f,fr,23
Béatrice,f,fr,23
Stéphanie,f,fr,23
Corinne,f,fr,21
Claude,f,fr,21
Renée,f,fr,21
Gabrielle,f,fr,20
Annie,f,fr,20
Eugénie,f,fr,19
Lucie,f,fr,19
Anne-Marie,f,fr,19
Simone,f,fr,19
Christiane,f,fr,19
Patricia,f,fr,19
Marcelle,f,fr,19
Agnès,f,fr,19
Claudine,f,fr,19
Germaine,f,fr,19
Mathilde,f,fr,18
Élodie,f,fr,18
Carole,f,fr,18
Henriette,f,fr,18
Marine,f,fr,18
Aurélie,f,fr,17
Andrée,f,fr,17
Laura,f,fr,17
Marthe,f,fr,17
Alexandra,f,fr,17
Sarah,f,fr,17
Mireille,f,fr,17
Jane,f,fr,16
Karine,f,fr,16
Céline,f,fr,16
Lucienne,f,fr,16
Mélanie,f,fr,15
Maria,f,fr,15
Thérèse,f,fr,15
Odette,f,fr,15
Denise,f,fr,15
Vanessa,f,fr,14
Danielle,f,fr,14
Évelyne,f,fr,13
Yvette,f,fr,13
Marie-Thérèse,f,fr,13
Ginette,f,fr,13
Fanny,f,fr,13
Amélie,f,fr,13
Annick,f,fr,13
Marie-Hélène,f,fr,12
Odile,f,fr,12
Marianne,f,fr,12
Fabienne,f,fr,12
Gisèle,f,fr,12
Anaïs,f,fr,12
Estelle,f,fr,11
Bernadette,f,fr,11
Marie-Anne,f,fr,11
Barbara,f,fr,11
Marie-Christine,f,fr,11
Angélique,f,fr,11
Léa,f,fr,11
Marie-Louise,f,fr,11
Amandine,f,fr,11
Danièle,f,fr,11
Marie-France,f,fr,11
Chloé,f,fr,11
Laetitia,f,fr,10
Judith,f,fr,10
Gaëlle,f,fr,10
Blanche,f,fr,10
Clémence,f,fr,10
Sabine,f,fr,10
Nelly,f,fr,10
Emma,f,fr,9
Valentine,f,fr,9
Anne-Sophie,f,fr,9
Sandra,f,fr,9
Micheline,f,fr,9
Raymonde,f,fr,9
Adrienne,f,fr,9
Diane,f,fr,9
Lola,f,fr,9
Antoinette,f,fr,9
Juliette,f,fr,9
Maud,f,fr,9
Joëlle,f,fr,9
Myriam,f,fr,9
Aurore,f,fr,9
Séverine,f,fr,9
Rose,f,fr,9
Laëtitia,f,fr,9
Muriel,f,fr,9
Manon,f,fr,9
Paule,f,fr,9
Janine,f,fr,9
Lise,f,fr,9
Nadine,f,fr,8
Mademoiselle,f,fr,8
Constance,f,fr,8
Géraldine,f,fr,8
Josette,f,fr,8
Maryse,f,fr,8
Adeline,f,fr,8
Joséphine,f,fr,8
La,f,fr,8
Arlette,f,fr,8
Mary,f,fr,8
Francine,f,fr,8
Julia,f,fr,8
Anna,f,fr,8
Marie-Laure,f,fr,8
Jocelyne,f,fr,8
Berthe,f,fr,8
Magali,f,fr,7
Aline,f,fr,7
Christelle,f,fr,7
Solange,f,fr,7
Georgette,f,fr,7
Adèle,f,fr,7
Élise,f,fr,7
Marie-Françoise,f,fr,7
Ingrid,f,fr,7
Marielle,f,fr,7
Alix,f,fr,7
Coralie,f,fr,7
Justine,f,fr,7
Olivia,f,fr,6
Jennifer,f,fr,6
Clotilde,f,fr,6
Blandine,f,fr,6
Irène,f,fr,6
Fernande,f,fr,6
Dorothée,f,fr,6
Marie-Madeleine,f,fr,6
Régine,f,fr,6
Sylvia,f,fr,6
Clémentine,f,fr,6
Marie-Pierre,f,fr,6
Annette,f,fr,6
Paulette,f,fr,6
France,f,fr,6
Frédérique,f,fr,6
Margaux,f,fr,6
Jenny,f,fr,5
Nina,f,fr,5
Aimée,f,fr,5
Gaby,f,fr,5
Édith,f,fr,5
Anouk,f,fr,5
Noémie,f,fr,5
Aude,f,fr,5
Victoire,f,fr,5
Jean,m,fr,1288
Pierre,m,fr,1146
Louis,m,fr,714
Jacques,m,fr,673
François,m,fr,660
Charles,m,fr,630
Henri,m,fr,589
Paul,m,fr,528
André,m,fr,497
Georges,m,fr,485
Michel,m,fr,484
Philippe,m,fr,413
Nicolas,m,fr,373
Claude,m,fr,370
Antoine,m,fr,365
René,m,fr,360
Joseph,m,fr,336
Maurice,m,fr,315
Robert,m,fr,295
Jean-Baptiste,m,fr,262
Bernard,m,fr,261
Émile,m,fr,260
Jules,m,fr,256
Alain,m,fr,243
Marcel,m,fr,222
Eugène,m,fr,215
Jean-Pierre,m,fr,214
Frédéric,m,fr,211
Alexandre,m,fr,205
Albert,m,fr,203
Guillaume,m,fr,201
Olivier,m,fr,200
Laurent,m,fr,191
Christophe,m,fr,191
Léon,m,fr,186
Édouard,m,fr,183
Marc,m,fr,175
Auguste,m,fr,175
Étienne,m,fr,173
Julien,m,fr,169
Roger,m,fr,161
Gérard,m,fr,160
Guy,m,fr,152
Jean-François,m,fr,151
Raymond,m,fr,150
Christian,m,fr,148
Patrick,m,fr,143
Yves,m,fr,143
Stéphane,m,fr,142
Vincent,m,fr,142
Pascal,m,fr,139
Sébastien,m,fr,139
Dominique,m,fr,139
Éric,m,fr,136
Daniel,m,fr,135
Thomas,m,fr,132
Thierry,m,fr,131
Jean-Claude,m,fr,130
Lucien,m,fr,130
Jean-Louis,m,fr,128
Gilles,m,fr,125
David,m,fr,117
Victor,m,fr,117
Alfred,m,fr,116
Gaston,m,fr,114
Gabriel,m,fr,107
Ernest,m,fr,103
Francis,m,fr,103
Emmanuel,m,fr,101
Félix,m,fr,100
Gustave,m,fr,100
Jean-Jacques,m,fr,98
Jean-Marie,m,fr,97
Edmond,m,fr,94
Bruno,m,fr,94
Xavier,m,fr,93
Romain,m,fr,91
Serge,m,fr,91
Didier,m,fr,91
Jean-Paul,m,fr,90
Henry,m,fr,89
Jérôme,m,fr,89
Armand,m,fr,87
Benoît,m,fr,86
Jean-Michel,m,fr,86
Adolphe,m,fr,84
Fernand,m,fr,83
Denis,m,fr,77
Adrien,m,fr,76
Mathieu,m,fr,76
Franck,m,fr,75
Arnaud,m,fr,74
William,m,fr,73
Alphonse,m,fr,73
Richard,m,fr,70
Benjamin,m,fr,66
Hervé,m,fr,65
Camille,m,fr,65
Maxime,m,fr,64
Alexis,m,fr,63
Bertrand,m,fr,62
Clément,m,fr,61
Roland,m,fr,60
Augustin,m,fr,59
Jean-Luc,m,fr,58
Gilbert,m,fr,55
Jean-Marc,m,fr,55
Arthur,m,fr,55
Château,m,fr,55
Anthony,m,fr,52
Patrice,m,fr,51
John,m,fr,50
Hubert,m,fr,50
Hippolyte,m,fr,50
Ferdinand,m,fr,49
Raoul,m,fr,48
Cyril,m,fr,48
Simon,m,fr,46
Sylvain,m,fr,46
Cédric,m,fr,46
Fabien,m,fr,46
Martin,m,fr,44
Lionel,m,fr,44
Max,m,fr,43
Achille,m,fr,43
Fabrice,m,fr,42
Luc,m,fr,42
Raphaël,m,fr,40
Théodore,m,fr,40
Matthieu,m,fr,40
Yann,m,fr,40
Jérémy,m,fr,39
Damien,m,fr,39
Yannick,m,fr,36
Jean-Yves,m,fr,35
Ludovic,m,fr,35
Samuel,m,fr,35
Grégory,m,fr,34
Joël,m,fr,33
Florian,m,fr,33
Jean-Christophe,m,fr,33
Florent,m,fr,33
Noël,m,fr,33
Jean-Charles,m,fr,33
Amédée,m,fr,32
Jonathan,m,fr,32
Hugues,m,fr,31
Mickaël,m,fr,31
Loïc,m,fr,30
Rémi,m,fr,30
Jean-Joseph,m,fr,29
Abel,m,fr,29
Théophile,m,fr,28
Peter,m,fr,27
Kévin,m,fr,27
Régis,m,fr,27
Aimé,m,fr,26
