,name,country,latitude,longitude,picture,caption,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,continent
<Lake_Arenal>,Lake Arenal,Costa Rica,10.505167,-84.872168,LagoArenal.jpg,A view from the southwest side looking across at the north depth 30 -,https://upload.wikimedia.org/wikipedia/en/2/21/LagoArenal.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/LagoArenal.jpg/250px-LagoArenal.jpg,"Lake Arenal (Spanish: Lago Arenal) is a lake which is situated in the northern highlands of Costa Rica. It is currently the largest lake in Costa Rica at 85-square-kilometre (33 sq mi). Its depth varies between 30 and 60 meters (100–200 feet) seasonally.The town of Arenal was relocated to higher ground when the lake was expanded in 1979. The old towns of Arenal and Tronadora now lie abandoned at the bottom of the lake, with the new town of Arenal existing to the northeast on the lake.",00001.jpg,00001.jpg,Central America
<Caumasee>,Caumasee,Switzerland,46.820277777777775,9.295833333333333,Caumasee Sommer08.jpg,summer 2008 at high level,https://upload.wikimedia.org/wikipedia/commons/3/30/Caumasee_Sommer08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Caumasee_Sommer08.jpg/250px-Caumasee_Sommer08.jpg,"Caumasee (Romansh: Lag la Cauma or Lai da Cauma) is a lake near Flims, in the Grisons, Switzerland. It is one of the lakes on the Flims Rockslide deposits. The lake is fed from underground sources. Its surface area is 10.3194 ha.
The level of the lake varies by approximately 4 to 5 meters along with the varying underground water flow during the year, hence reaches its minimum by the end of April when snow melting in the mountains increases. A maximum level is reached by mid July but may be topped in August even after previous falling due to summer rain. The very western bay never freezes in winter, probably showing a maximum water flow in this area.
When the lake is at a low level, with a small volume of water, it warms up sooner than most lakes in the region, so people can be seen starting to swim the lake in April while bigger lakes even in lower areas of Switzerland remain rather cool. Water temperature in summer is at an average 21 Celsius, with a maximum around 24 Celsius.
The lake is in a huge forest that was allowed to remain on the agriculturally useless debris area of the biggest prehistoric rockslide in the Alps and can only be reached by a footpath (wheelchair accessible), possibly using a funicular built in 1939, refurbished in 1988 on its original tracks (running May to October only). The walk from the edge of town to the funicular takes about 10 minutes.",00002.jpg,00002.jpg,Europe
<Lacul_Morii>,Lacul Morii,Romania,44.45555555555556,26.025277777777767,Lacul_Morii_aeroboat.jpg,Lacul Morii in September 2014,https://upload.wikimedia.org/wikipedia/en/9/9c/Lacul_Morii_aeroboat.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Lacul_Morii_aeroboat.jpg/250px-Lacul_Morii_aeroboat.jpg,"Lacul Morii (""Mill Lake"") is the largest lake in Bucharest, with an area of 246 ha. The lake is approximately 6 km from the center of Bucharest (Piața Unirii) and is located between: Polytechnic University of Bucharest neighborhood to the East, Crangaşi and Giulești districts at North, Militari district at South. The type of it is accumulation lake, made in 1986 mainly to protect the city against floods.
It is also a recreation area. 
It provides a constant flow on Dâmboviţa river in the capital.
The lake was built by a dam 15 m high, with a central body of concrete, earth dams extended lengthwise with a total length of 7 km. Lake volume is 14.7 million m³, with a flood mitigation portion of 1.6 million m³, beyond the normal retention. Effectively, to mitigate flooding, the lake volume can be increased when floods are predicted.
Making a lake near an urban area required decommissioning of existing uses, including demolition and decommissioning of a church.On the south of Lacul Morii there is a peninsula.",00003.jpg,00003.jpg,Europe
<Veerplas>,Veerplas,Netherlands,52.38666666666666,4.676666666666667,Veerplas.JPG,The lake from the west with the beach in foreground,https://upload.wikimedia.org/wikipedia/commons/8/84/Veerplas.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Veerplas.JPG/250px-Veerplas.JPG,"Veerplas (Dutch pronunciation: [ˌveːrˈplɑs] (listen)) is an artificial lake directly east of the Dutch city of Haarlem. It was dug in 1994, mainly for recreation purposes and forms part of the Spaarnwoude recreational area.
The lake measures 450 by 400 metres. The southern shore is formed by a constructed wetland used for water purification. Large numbers of waterfowl may be found here and along the swampy eastern shore during the winter season (e.g. greylag geese, wigeons, common goldeneyes). The local angling club has released carps into the lake. A sandy beach measuring some 300 m was created at the western shore. An area sufficiently shallow to accommodate safe swimming by inexperienced bathers is cordoned off. Furthermore, a grassy sunbathing area sporting a public toilet adjoins the lake, as well as a children's adventure playground. The lake is only a short walking distance from Haarlem Spaarnwoude railway station and relatively close to the A200 and A9 motorways. This favourable location has helped to make it a popular area for organising mid to large-scale events. Thus, 2006 saw the Circus Herman Renz pitch its tent alongside the lake.",00004.jpg,00004.jpg,Europe
<La_Brava_Lake>,La Brava Lake,Argentina,-37.88113888888889,-57.97730555555556,Laguna La Brava.jpg,La Brava at sunset,https://upload.wikimedia.org/wikipedia/commons/9/9e/Laguna_La_Brava.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Laguna_La_Brava.jpg/250px-Laguna_La_Brava.jpg,"La Brava is a lake in the eastearn part of the Balcarce Partido in Buenos Aires Province, Argentina. It lies just on the border with General Pueyrredón, 40 kilometres (25 mi) northwest of the city of Mar del Plata and 25 kilometres (16 mi) east of the town of Balcarce. Located within Mount La Brava, the lake area is privately owned, although open to the public for fishing and camping. There are several campsites around the lake, like Ruca Lauquen on the east coast and the Fishing Club Balcarce on the north, both of them with recreational facilities and boat piers. The lake is described as a rift lake or tectonic lake, probably a natural reservoir formed by dunes. La Brava is the habitat of a number of bird species, like swans, ducks, coots, herons and gulls. Capybaras and otters dwell in its shores. The lake also support a fish community dominated by the silverside and the dentudo. The landscape has been compared with that of the lakes of western Patagonia.",00005.jpg,00005.jpg,South America
<Lake_Kisale>,Lake Kisale,Democratic Republic of the Congo,-8.257700999999999,26.503829999999997,Lake Kisale Satellite Image.jpg,Lake Kasale (center) from Satellite. The larger Lake Upemba to the south. The meandering Lualaba River flows out of the lake to the east.,https://upload.wikimedia.org/wikipedia/commons/c/c1/Lake_Kisale_Satellite_Image.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Lake_Kisale_Satellite_Image.jpg/250px-Lake_Kisale_Satellite_Image.jpg,"Lake Kisale is a lake in the Democratic Republic of the Congo (DRC), in Bukama Territory, Haut-Lomami District.
At about 300 square kilometres (120 sq mi) in area, it is the second largest of the lakes in the Upemba Depression (Kamolondo Depression), an extensive marshy area partly within the Upemba National Park.",00006.jpg,00006.jpg,Africa
<MacRitchie_Reservoir>,MacRitchie Reservoir,Singapore,1.3436111111111106,103.83111111111113,MacRitchie Reservoir.jpg,The distinctive zig-zag bridge and Performing Arts Pavilion are popular spots at the reservoir,https://upload.wikimedia.org/wikipedia/commons/f/fb/MacRitchie_Reservoir.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/MacRitchie_Reservoir.jpg/250px-MacRitchie_Reservoir.jpg,"MacRitchie Reservoir is Singapore's oldest reservoir.  The reservoir was completed in 1868 by impounding water from an earth embankment, and was then known as the Impounding Reservoir or Thomson Reservoir.",00007.jpg,00007.jpg,Asia
<Taudaha_Lake>,Taudaha Lake,Nepal,27.6487,85.28200000000002,Taudaha.jpg,Taudaha Lake and the surrounding,https://upload.wikimedia.org/wikipedia/commons/0/0e/Taudaha.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Taudaha.jpg/250px-Taudaha.jpg,"Taudaha Lake is a small lake in the outskirts of Kathmandu, in Nepal. The name comes from a combination of Newari words 'Ta', meaning snake and 'Daha', which means lake.",00008.jpg,00008.jpg,Asia
<Grand_Étang>,Grand Étang,Réunion,-21.09611111111111,55.640277777777776,Grand Etang - Ile de la Réunion.JPG,Grand Étang,https://upload.wikimedia.org/wikipedia/commons/d/db/Grand_Etang_-_Ile_de_la_R%C3%A9union.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Grand_Etang_-_Ile_de_la_R%C3%A9union.JPG/250px-Grand_Etang_-_Ile_de_la_R%C3%A9union.JPG,"Grand Étang (large pond in English) is the largest lake on the island of Réunion, a French territory in the western Indian Ocean. 
It lies in the commune of Saint-Benoît, close to La Plaine-des-Palmistes, in the eastern part of the island. Its inflow is a short creek from the waterfall Cascade Biberon of the Bras d'Annette creek. It does not have an outflow.",00009.jpg,00009.jpg,Africa
<Champagne_Pool>,Champagne Pool,New Zealand,-38.359086,176.368901,ChampagnePool-Wai-O-Tapu rotated MC.jpg,The orange colour originates from deposits of arsenic and antimony sulfides.,https://upload.wikimedia.org/wikipedia/commons/a/ab/ChampagnePool-Wai-O-Tapu_rotated_MC.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/ChampagnePool-Wai-O-Tapu_rotated_MC.jpg/250px-ChampagnePool-Wai-O-Tapu_rotated_MC.jpg,"Champagne Pool is a prominent geothermal feature within the Waiotapu geothermal area in the North Island of New Zealand. The terrestrial hot spring is located about 30 km (20 mi) southeast of Rotorua and about 50 km (30 mi) northeast of Taupo. The name Champagne Pool is derived from the abundant efflux of carbon dioxide (CO2), similar to a glass of bubbling champagne. The hot spring was formed 900 years ago by a hydrothermal eruption, which makes it in geological terms a relatively young system. Its crater is around 65 m (213 ft) in diameter with a maximum depth of approximately 62 m (203 ft) and is filled with an estimated volume of 50,000 m3 (1,800,000 cu ft) of geothermal fluid.",00010.jpg,00010.jpg,Oceania
