,title,date,country,author,picture,language,type,remark,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,continent
<Trigger_(film)>,Trigger,2010,Canada,Bruce McDonald,Trigger2010Poster.jpg,English,movie,"Molly Parker, Tracy Wright, Don McKellar, Sarah Polley",https://upload.wikimedia.org/wikipedia/en/1/11/Trigger2010Poster.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Trigger2010Poster.jpg/250px-Trigger2010Poster.jpg,"Trigger is a 2010 Canadian comedy-drama film directed by Bruce McDonald and starring Molly Parker and Tracy Wright as Kat and Vic, former rock stars reuniting their band Trigger for the first time since their retirement.The film was originally planned in the late 1990s as a companion film to McDonald's Hard Core Logo, which would have starred Hugh Dillon and Callum Keith Rennie. However, work on the film remained dormant until McDonald and screenwriter Daniel MacIvor decided to rewrite their original screenplay to be about two women instead. Rennie does, however, appear in the film as his Hard Core Logo character Billy Tallent.
The film's cast also includes Daniel MacIvor, Don McKellar, Sarah Polley, Lenore Zann, Carole Pope and Julian Richings. Brendan Canning of Broken Social Scene wrote the film's score.
Wright was undergoing treatment for pancreatic cancer during the film's production. It was the last film she completed before her death.",00001.jpg,00001.jpg,North America
<Uzak>,Uzak,2002,Turkey,Nuri Bilge Ceylan,Uzak.jpg,Turkish,movie,"Muzaffer Özdemir, Mehmet Emin Toprak",https://upload.wikimedia.org/wikipedia/en/e/ed/Uzak.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Uzak.jpg/250px-Uzak.jpg,"Uzak is a 2002 Turkish film directed by Nuri Bilge Ceylan. It was released as Distant in North America, a literal translation of its title (pronounced [uˈzac]). The movie is the winner of 31 awards including Best Actor at Cannes, Special Jury Prize at Chicago, and Best Balkan Movie at Sofia International Film Festival.",00002.jpg,00002.jpg,Asia
<Hum_Tumhare_Hain_Sanam>,Hum Tumhare Hain Sanam,2002,India,K. S. Adhiyaman,poster_humtumharehainsanam.jpg,Hindi,movie,"Madhuri Dixit, Shah Rukh Khan, Salman Khan, Atul Agnihotri, Suman Ranganathan, Aishwarya Rai Bachcha",,,"Hum Tumhare Hain Sanam (transl. I am yours, darling) is a 2002 Hindi romantic drama film directed by K. S. Adhiyaman. It features Shahrukh Khan, Salman Khan, and Madhuri Dixit in the lead roles, with Aishwarya Rai in a cameo appearance.
The movie is K. S. Adhiyaman's first in Hindi, a remake of his own Tamil film, Thotta Chinungi. It took five years to make, with huge sabbaticals between shoots due to production problems. The rights of the film was owned by Shah Rukh Khan's Red Chillies Entertainment.Hum Tumhare Hain Sanam is the third film to feature the two-Khans together after the blockbusters Karan Arjun (1995) and Kuch Kuch Hota Hai (1998). Dixit was cast opposite both Khans for the fourth time–she worked with Salman Khan in the flop Dil Tera Aashiq (1993) and the blockbusters Saajan (1991) and Hum Aapke Hain Koun..! (1994); and with Shah Rukh Khan in Anjaam (1994), Koyla (1997), and Dil To Pagal Hai (1997).",,,Asia
<Nalla_Pattukare>,Nalla Pattukare,2010,India,K. S. Sivachandran,Nalla Pattukare.jpg,Malayalam,movie,Bheeman Raghu,https://upload.wikimedia.org/wikipedia/en/d/d4/Nalla_Pattukare.jpg,https://upload.wikimedia.org/wikipedia/en/d/d4/Nalla_Pattukare.jpg,"Nalla Pattukare is a 2010 Malayalam film directed by M. S. Sivachandran starring Vijay Madhav in the lead role.
The movie is based on the struggles of upcoming artists and was modelled upon the popular Asianet reality TV show called Idea Star Singer. Vijay Madhav was himself a former contestant in this show. Besides Vijay Madhav, the film also stars other ISS contestants such as Imran, Bitty, Arun Gopan and others.
The music for the movie was done by Sharreth, one of the permanent judges of the ISS show. The songs were sung by popular ISS Contestants such as Najeem Arshad, Durga, Sannidanandan, Shikha, Vani, Yasin, Shwetha, Gayatri, Somdas, Pramod, Vivekanandan, Bitty and Sonia.",00003.jpg,00003.jpg,Asia
<When_You_Remember_Me>,When You Remember Me,1990,United States,Harry Winer,,English,movie,"Fred Savage, Kevin Spacey, Ellen Bursty",,,"When You Remember Me is a 1990 American made-for-television biographical drama film directed by Harry Winer and starring Fred Savage, Kevin Spacey, and Ellen Burstyn. It is based on the life of Michael Patrick Smith, a young man who filed a lawsuit in the early '70s that led to improved conditions for nursing home patients nationwide.",,,North America
<The_Pyramid_(film)>,The Pyramid,2014,United States,Grégory Levasseur,The Pyramid (film).jpg,English,movie,"Ashley Hinshaw, Denis O'Hare, James Buckley, Daniel Amerma",https://upload.wikimedia.org/wikipedia/en/0/03/The_Pyramid_%28film%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/The_Pyramid_%28film%29.jpg/250px-The_Pyramid_%28film%29.jpg,"The Pyramid is a 2014 American found footage supernatural horror film directed by Grégory Levasseur, in his directorial debut, produced by Alexandre Aja, and distributed by 20th Century Fox. The plot follows an archaeological team attempting to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature, and stars Ashley Hinshaw, Denis O'Hare, James Buckley and Daniel Amerman. The Pyramid was released on December 5, 2014, and was negatively received by critics.",00004.jpg,00004.jpg,North America
<Thirumathi_Palanisamy>,Thirumathi Palanisamy,1992,India,R. Sundarrajan,,Tamil,movie,Kripa Shanker,,,"Thirumathi Palanisamy (transl. Mrs. Palanisamy) is a 1992 Tamil comedy-drama film directed by R. Sundarrajan. The film features Sathyaraj and Sukanya in lead roles. The film, produced by Ramanathan, had musical score by Ilaiyaraaja and was released on 25 October 1992.",,,Asia
<Masanagudi_Mannadiyar_Speaking>,Masanagudi Mannadiyar Speaking,2004,India,J Francis,,Malayalam,movie,"Jagathy Sreekumar, Rajan P Dev",,,"Masanagudi Mannadiyar Speaking is a 2004 Indian Malayalam film, directed by J Francis, starring Jagathy Sreekumar and Rajan P Dev in the lead role.",,,Asia
<Don't_Blink_(film)>,Don't Blink,2014,United States,Travis Oates,,English,movie,"Mena Suvari, Brian Austin Green, Joanne Kelly, Zack Ward, Robert Picardo",,,"Don't Blink is a 2014 American psychological horror film written and directed by Travis Oates.  It stars an ensemble cast that includes Mena Suvari, Brian Austin Green, Joanne Kelly, and Zack Ward, who also produced.  A group of ten friends visit a remote resort, which they subsequently find empty.  As they attempt to find out what happened to the other guests, they are horrified to find that they too are disappearing.  It received a limited release on September 18, 2014.",,,North America
<Muskurahat_(1992_film)>,Muskurahat,1992,,Priyadarshan,Muskurahatfilm.jpg,Hindi,movie,"Jay Mehta, Revathi, Amrish Puri, Anil Dhawan, Jagdeep, Annu Kapoor, Sharat Saxena, Anju Mahendru",https://upload.wikimedia.org/wikipedia/en/3/36/Muskurahat_%281992%29.jpg,https://upload.wikimedia.org/wikipedia/en/3/36/Muskurahat_%281992%29.jpg,"Muskurahat (transl. Smile}}) is a 1992 Indian Hindi-language feature film directed by Priyadarshan, starring Jay Mehta, Revathi, Amrish Puri, Anil Dhawan, Sharat Saxena, Annu Kapoor and Jagdeep. The film is the remake of Priyadarshan's own Malayalam blockbuster Kilukkam starring Mohanlal and Revathi, and was initially supposed to have Aamir Khan and Pooja Bhatt in the lead.",00005.jpg,00005.jpg,
